Broad_ID,CCLE_Name,Aliases,COSMIC_ID,Sanger ID,Primary Disease,Subtype Disease,Gender,Source
ACH-000080,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BDCM,,,B-cell_ALL/Leukemia,lymphoid_neoplasm,Male,NIBRI
ACH-001016,BECKER_CENTRAL_NERVOUS_SYSTEM,,906746,2090,Brain Cancer,glioma,Male,HSRRB
ACH-000603,BEN_LUNG,BEN,753534,971,Lung NSCLC,carcinoma,Male,DSMZ
ACH-000802,BFTC905_URINARY_TRACT,BFTC905,910926,1583,Bladder Cancer,carcinoma,Female,DSMZ
ACH-000792,BFTC909_KIDNEY,BFTC909,910698,1284,Kidney Cancer,carcinoma,Male,DSMZ
ACH-001017,BGC823_STOMACH,,,,Gastric Cancer,adenocarcinoma,Male,
ACH-000191,BHT101_THYROID,BHT101,906696,672,Thyroid Cancer,carcinoma,Female,DSMZ
ACH-000548,BHY_UPPER_AERODIGESTIVE_TRACT,BHY,753535,748,Head and Neck Cancer,carcinoma,Male,DSMZ
ACH-001331,BICR10_UPPER_AERODIGESTIVE_TRACT,BICR 10,1290724,1676,Head and Neck,,-1,
ACH-000503,BICR16_UPPER_AERODIGESTIVE_TRACT,BICR16,,,Head and Neck Cancer,carcinoma,Male,ECACC
ACH-000992,BICR18_UPPER_AERODIGESTIVE_TRACT,BICR18,,,Head and Neck Cancer,carcinoma,Male,ECACC
ACH-000794,BICR22_UPPER_AERODIGESTIVE_TRACT,BICR 22,1240121,1575,Head and Neck Cancer,carcinoma,Male,ECACC
ACH-000228,BICR31_UPPER_AERODIGESTIVE_TRACT,BICR31,1290725,940,Head and Neck Cancer,carcinoma,Male,ECACC
ACH-000771,BICR56_UPPER_AERODIGESTIVE_TRACT,BICR 56,,,Head and Neck Cancer,carcinoma,Female,ECACC
ACH-000415,BICR6_UPPER_AERODIGESTIVE_TRACT,BICR6,,,Head and Neck Cancer,carcinoma,Male,ECACC
ACH-001332,BICR78_UPPER_AERODIGESTIVE_TRACT,BICR 78,1240122,913,Head and Neck,,-1,
ACH-000263,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KASUMI-1,907275,1196,Leukemia,,Male,GNF
ACH-001018,BJHTERT_FIBROBLAST,BJ hTERT,,,Fibroblast,immortalized_fibroblast,-1,
ACH-000245,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL41,910706,737,Lymphoma,lymphoid_neoplasm,Male,DSMZ
ACH-000402,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL70,,,Lymphoma,lymphoid_neoplasm,Male,NIBRI
ACH-001450,BLUE1_HAEMATOPOIETIC_AND_LYMPHOID,BLUE-1,,,Lymphoma,burkitt_lymphoma,Male,
ACH-001452,BONNA12_HAEMATOPOIETIC_AND_LYMPHOID,BONNA-12,906695,196,Leukemia,Hairy Cell leukemia,Male,
ACH-001453,BPH1_PROSTATE,BPH-1,924105,1223,Prostate cancer,,Male,
ACH-000160,BT12_SOFT_TISSUE,BT-12,,,Rhabdoid,atypical_teratoid_rhabdoid_tumor,,
ACH-000362,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM-13,1330947,747,Leukemia,,Male,DSMZ
ACH-001020,BT16_SOFT_TISSUE,BT-16,,,Rhabdoid,atypical_teratoid_rhabdoid_tumor,,
ACH-001129,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONO-MAC-1,,,Leukemia,,Male,DSMZ
ACH-000536,BT20_BREAST,BT-20,906801,2264,Breast Cancer,Basal,Female,NIBRI
ACH-000927,BT474_BREAST,BT-474,946359,412,Breast Cancer,Luminal,Female,NIBRI
ACH-000818,BT483_BREAST,BT-483,949093,1231,Breast Cancer,Luminal,Female,ATCC
ACH-000288,BT549_BREAST,BT-549,905951,1835,Breast Cancer,Basal,Female,ATCC
ACH-000432,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BV173,910710,321,Leukemia,haematopoietic_neoplasm,Male,DSMZ
ACH-000535,BXPC3_PANCREAS,BxPC-3,906693,1978,Pancreatic Cancer,pancreatic_ductal_adenocarcinoma,Female,NIBRI
ACH-001454,C10_LARGE_INTESTINE,C10,,,Colon Cancer,adenocarcinoma,Male,
ACH-001456,C125PM_LARGE_INTESTINE,C125PM,,,Colon Cancer,adenocarcinoma,,
ACH-000009,C2BBE1_LARGE_INTESTINE,C2BBe1,910700,2104,Colon Cancer,adenocarcinoma,Male,ATCC
ACH-000580,C32_SKIN,C32,906830,2242,Skin Cancer,malignant_melanoma,Male,ATCC
ACH-001333,C33A_CERVIX,C-33 A,687505,1761,Cervical Cancer,Carcinoma,,
ACH-001021,C3A_LIVER,,910850,1161,Liver Cancer,hepatocellular_carcinoma,Male,
ACH-001334,C4I_CERVIX,C-4 I,687506,561,Cervical Cancer,,,
ACH-001458,C75_LARGE_INTESTINE,C75,,,Colon Cancer,adenocarcinoma,Male,
ACH-001459,C80_LARGE_INTESTINE,C80,,,Colon Cancer,adenocarcinoma,Male,
ACH-000206,C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,C8166,,,Lymphoma,,,
ACH-001460,C84_LARGE_INTESTINE,C84,,,Colon Cancer,adenocarcinoma,Male,
ACH-001461,C99_LARGE_INTESTINE,C99,,,Colon Cancer,adenocarcinoma,Male,
ACH-000440,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CA46,910703,1190,Lymphoma,lymphoid_neoplasm,Male,ATCC
ACH-002043,CA922_UPPER_AERODIGESTIVE_TRACT,Ca9-22,,,Upper Head and Neck,,Male,
ACH-000003,CACO2_LARGE_INTESTINE,CaCo-2,,,Colorectal Cancer,adenocarcinoma,-1,
ACH-000210,CADOES1_BONE,CADO-ES-1,753539,1523,Bone Cancer,NS,Female,DSMZ
ACH-000045,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV4;11,908156,133,Leukemia,,Male,ATCC
ACH-000433,CAKI1_KIDNEY,Caki-1,905963,289,Kidney Cancer,carcinoma,Male,ATCC
ACH-000234,CAKI2_KIDNEY,CAKI2,,,Kidney Cancer,carcinoma,Male,NIBRI
ACH-000212,CAL120_BREAST,CAL-120,906826,1748,Breast Cancer,Luminal,Female,DSMZ
ACH-000826,CAL12T_LUNG,CAL-12T,753540,2252,Lung NSCLC,carcinoma,Male,GNF
ACH-000902,CAL148_BREAST,CAL-148,924106,1610,Breast Cancer,Luminal,Female,DSMZ
ACH-000832,CAL27_UPPER_AERODIGESTIVE_TRACT,CAL 27,910916,1911,Head and Neck Cancer,carcinoma,Male,NIBRI
ACH-000142,CAL29_URINARY_TRACT,CAL29,1290730,2040,Bladder Cancer,carcinoma,Female,DSMZ
ACH-000518,CAL33_UPPER_AERODIGESTIVE_TRACT,CAL-33,753541,2041,Head and Neck Cancer,carcinoma,Male,DSMZ
ACH-000856,CAL51_BREAST,CAL-51,910927,4,Breast Cancer,Basal,Female,DSMZ
ACH-000457,CAL54_KIDNEY,CAL-54,910952,482,Kidney Cancer,carcinoma,Male,DSMZ
ACH-000174,CAL62_THYROID,CAL62,906828,1753,Thyroid Cancer,carcinoma,Female,DSMZ
ACH-001715,CAL72_BONE,,906827,550,Bone Cancer,,Male,
ACH-000516,CAL78_BONE,CAL78_BONE,1290765,1148,Chondrosarcoma/Bone Cancer,chondrosarcoma,Male,DSMZ
ACH-000857,CAL851_BREAST,CAL-85-1,910852,113,Breast Cancer,Basal,Female,DSMZ
ACH-000511,CALU1_LUNG,Calu-1,,,Lung NSCLC,carcinoma,Male,NIBRI
ACH-000392,CALU3_LUNG,Calu-3,687777,219,Lung NSCLC,carcinoma,Male,NIBRI
ACH-000264,CALU6_LUNG,Calu-6,724859,1844,Lung NSCLC,carcinoma,Female,ATCC
ACH-000783,CAMA1_BREAST,CAMA-1,946382,363,Breast Cancer,Luminal,Female,ATCC
ACH-000713,CAOV3_OVARY,Caov-3,906825,320,Ovarian Cancer,carcinoma,Female,NIBRI
ACH-000103,CAOV4_OVARY,Caov-4,949090,1524,Ovarian Cancer,carcinoma,Female,
ACH-000354,CAPAN1_PANCREAS,,753624,641,Pancreatic Cancer,pancreatic_ductal_adenocarcinoma,Male,ATCC
ACH-000107,CAPAN2_PANCREAS,,910915,703,Pancreatic Cancer,pancreatic_ductal_adenocarcinoma,Male,NIBRI
ACH-000464,CAS1_CENTRAL_NERVOUS_SYSTEM,CAS-1,910943,604,Brain Cancer,glioma,Male,ICLC
ACH-001336,CASKI_CERVIX,Ca Ski,906824,1767,Cervical Cancer,Epidermoid Carcinoma,Female,
ACH-001022,CBAGPN_BONE,CB-AGPN,,,Ewing\'s Sarcoma,,,
ACH-000329,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,CCFSTTG1,906823,876,Brain Cancer,glioma,Female,ATCC
ACH-000963,CCK81_LARGE_INTESTINE,,1240123,1915,Colon Cancer,adenocarcinoma,,
ACH-001738,CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCRF-CEM,905952,1151,Leukemia,,-1,
ACH-000138,CFPAC1_PANCREAS,CFPAC-1,906821,572,Pancreatic Cancer,pancreatic_ductal_adenocarcinoma,Male,
ACH-001023,CGTHW1_THYROID,,910568,65,Thyroid Cancer,carcinoma,Female,DSMZ
ACH-000025,CH157MN_CENTRAL_NERVOUS_SYSTEM,CH-157MN,,,Meningioma,meningioma,,
ACH-000867,CHAGOK1_LUNG,ChaGo-K-1,687596,1605,Lung NSCLC,carcinoma,Male,ECACC
ACH-001024,CHL1_SKIN,CHL-1,910853,739,Skin Cancer,NS,,ATCC
ACH-000294,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB-4,1323913,1285,Leukemia,,Female,DSMZ
ACH-001029,CHLA10_BONE,CHLA-10,,,Ewing\'s Sarcoma,,,
ACH-000168,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NOMO-1,908451,297,Leukemia,,Female,HSRRB
ACH-001030,CHLA218_BONE,,,,Ewing\'s Sarcoma,,,
ACH-001282,CHLA258_BONE,CHLA258,,,Ewing\'s Sarcoma,,,
ACH-000113,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML2,910947,749,Leukemia,,Male,DSMZ
ACH-001032,CHLA32_BONE,CHLA-32,,,Ewing\'s Sarcoma,,,
ACH-001033,CHLA57_BONE,CHLA-57,,,Ewing\'s Sarcoma,,,
ACH-001034,CHLA9_BONE,CHLA-9,,,Ewing\'s Sarcoma,,-1,
ACH-001035,CHLA99_BONE,,,,Ewing\'s Sarcoma,,,
ACH-000136,CHP126_AUTONOMIC_GANGLIA,,910567,38,Neuroblastoma,neuroblastoma,Female,DSMZ
ACH-001338,CHP134_AUTONOMIC_GANGLIA,CHP-134,910941,1562,Neuroblastoma,,Male,
ACH-000336,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML3,1290455,355,Leukemia,,Male,DSMZ
ACH-000687,CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CI1,,,Lymphoma,lymphoid_neoplasm,Female,NIBRI
ACH-000458,CJM_SKIN,CJM,,,Skin Cancer,malignant_melanoma,,RIKEN
ACH-000249,CL11_LARGE_INTESTINE,CL11,1290769,1153,Colon Cancer,adenocarcinoma,,DSMZ
ACH-000342,CL14_LARGE_INTESTINE,CL14,,,Colon Cancer,adenocarcinoma,Male,DSMZ
ACH-000895,CL34_LARGE_INTESTINE,,1290771,1005,Colon Cancer,adenocarcinoma,Female,DSMZ
ACH-000798,CL40_LARGE_INTESTINE,CL40,1240124,555,Colon Cancer,adenocarcinoma,Female,DSMZ
ACH-000770,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909253,642,Leukemia,,Male,HSSRB
ACH-000641,CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMK,910566,734,Leukemia,,Male,DSMZ
ACH-001036,CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,Leukemia,haematopoietic_neoplasm,,HSSRB
ACH-001037,CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,Leukemia,haematopoietic_neoplasm,,
ACH-000920,CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMLT1,910951,160,Leukemia,haematopoietic_neoplasm,Female,DSMZ
ACH-000387,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TF1,,,Leukemia,,Male,NIBRI
ACH-000146,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP-1,909771,770,Leukemia,,Male,NIBRI
ACH-000406,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,U-937,,,Lymphoma,,Male,NIBRI
ACH-000070,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,906800,63,Leukemia,lymphoid_neoplasm,Male,DSMZ
ACH-000253,COLO201_LARGE_INTESTINE,COLO201,,,Colon Cancer,adenocarcinoma,Male,
ACH-001039,COLO205_LARGE_INTESTINE,COLO 205,905961,1687,Colon Cancer,adenocarcinoma,Male,
ACH-000202,COLO320_LARGE_INTESTINE,COLO-320,,,Colon Cancer,adenocarcinoma,Female,DSMZ
ACH-000803,COLO668_LUNG,COLO 668,910692,1072,Lung SCLC,carcinoma,Female,ECACC
ACH-000350,COLO678_LARGE_INTESTINE,COLO-678,910689,2148,Colon Cancer,adenocarcinoma,Male,DSMZ
ACH-000805,COLO679_SKIN,COLO-679,906818,2049,Skin Cancer,malignant_melanoma,Female,DSMZ
ACH-000717,COLO680N_OESOPHAGUS,COLO680N,906817,1469,Esophageal Cancer,squamous_cell_carcinoma,Female,DSMZ
ACH-000864,COLO684_ENDOMETRIUM,COLO 684,910691,218,Endometrial Cancer,carcinoma,Female,ECACC
ACH-001041,COLO699_LUNG,COLO-699,,,Melanoma/Lung Cancer,adenocarcinoma,Female,DSMZ
ACH-001042,COLO704_OVARY,COLO-704,,,Ovarian Cancer,carcinoma,Female,DSMZ
ACH-000582,COLO741_SKIN,COLO 741,,,Skin Cancer,NS,Female,GNF
ACH-001043,COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,Leukemia,haematopoietic_neoplasm,Female,
ACH-000812,COLO783_SKIN,COLO-783,1240125,857,Skin Cancer,malignant_melanoma,Female,DSMZ
ACH-000968,COLO792_SKIN,COLO 792,906814,1467,Skin Cancer,malignant_melanoma,Male,ECACC
ACH-001339,COLO794_SKIN,Colo 794,,,Skin Cancer,,Male,
ACH-000401,COLO800_SKIN,COLO-800,906813,21,Skin Cancer,malignant_melanoma,Male,ATCC
ACH-001044,COLO818_SKIN,,,,Skin Cancer,malignant_melanoma,,
ACH-001820,COLO824_BREAST,COLO-824,,,Breast Cancer,,,
ACH-000644,COLO829_SKIN,COLO829,687448,430,Skin Cancer,malignant_melanoma,Male,ATCC
ACH-000161,CORL105_LUNG,COR-L105,906805,22,Lung NSCLC,adenocarcinoma,Male,GNF
ACH-000662,CORL23_LUNG,COR-L23,687780,1313,Lung NSCLC,carcinoma,Male,ECAAC
ACH-000382,CORL24_LUNG,COR-L24,,,Lung SCLC,carcinoma,Male,ECACC
ACH-000257,CORL279_LUNG,COR-L279,910937,1768,Lung SCLC,carcinoma,Male,ECACC
ACH-000187,CORL311_LUNG,CORL311,687980,1167,Lung SCLC,carcinoma,Male,ECACC
ACH-001489,CORL32_LUNG,COR-L32,1322212,1168,Lung Cancer,,,
ACH-001490,CORL321_LUNG,COR-L321,1322213,1484,Lung Cancer,,Female,
ACH-000695,CORL47_LUNG,CORL44,,,Lung SCLC,carcinoma,Male,ECACC
ACH-001047,CORL51_LUNG,,,,Lung SCLC,carcinoma,Male,
ACH-000508,CORL88_LUNG,COR-L88,906808,774,Lung SCLC,carcinoma,Male,ECACC
ACH-000743,CORL95_LUNG,CORL95,1297439,1769,Lung SCLC,carcinoma,Male,ECACC
ACH-000256,COV318_OVARY,COV318,,,Ovarian Cancer,carcinoma,Female,ECACC
ACH-000278,COV362_OVARY,COV362,,,Ovarian Cancer,carcinoma,Female,ECACC
ACH-001340,COV413A_OVARY,COV413A,,,Ovarian Cancer,Carcinoma,Female,
ACH-000123,COV434_OVARY,COV434,,,Ovarian Cancer,,Female,ECACC
ACH-001048,COV504_OVARY,COV504,,,Ovarian Cancer,,Female,GNF
ACH-000608,COV644_OVARY,COV644,,,Ovarian Cancer,carcinoma,Female,ECACC
ACH-001049,CPCN_LUNG,CPC-N,753547,292,Lung SCLC,carcinoma,,ATCC
ACH-000998,CW2_LARGE_INTESTINE,CW2,910554,1833,Colon Cancer,adenocarcinoma,Female,RIKEN
ACH-000938,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Nalm-6,908158,973,Leukemia,lymphoid_neoplasm,Male,DSMZ
ACH-000960,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,REH,909696,1272,Leukemia,lymphoid_neoplasm,Female,ATCC
ACH-001052,D384_CENTRAL_NERVOUS_SYSTEM,D384,,,Brain Cancer,MYC-amp,,
ACH-000782,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SEM,,,Leukemia,lymphoid_neoplasm,Female,DSMZ
ACH-001055,D556_CENTRAL_NERVOUS_SYSTEM,D556,,,Brain Cancer,,,
ACH-000243,DANG_PANCREAS,DANG,1290797,871,Pancreatic Cancer,adenocarcinoma,,DSMZ
ACH-000786,DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DAUDI,906831,1783,Lymphoma,lymphoid_neoplasm,Male,NIBRI
ACH-000334,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DB,906832,1185,Lymphoma,lymphoid_neoplasm,Male,ATCC
ACH-000863,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,DBTRG-05MG,906835,1784,Brain Cancer,glioma,Female,ATCC
ACH-000233,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DEL,906836,793,Lymphoma,lymphoid_neoplasm,Male,DSMZ
ACH-001057,DERL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DERL2,,,Lymphoma,lymphoid_neoplasm,,
ACH-000207,DETROIT562_UPPER_AERODIGESTIVE_TRACT,DETROIT562,906837,2075,Head and Neck Cancer,carcinoma,Female,ATCC
ACH-000244,DKMG_CENTRAL_NERVOUS_SYSTEM,DK-MG,906839,1386,Brain Cancer,glioma,Female,DSMZ
ACH-001059,DL_SOFT_TISSUE,DL,,,Rhabdoid,rhabdoid,-1,
ACH-001060,DL40_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DL-40,,,Lymphoma,lymphoid_neoplasm,,
ACH-001061,DLD1_LARGE_INTESTINE,DLD-1,,,Colon Cancer,adenocarcinoma,Male,
ACH-000742,DM3_PLEURA,DM3,,,Mesothelioma/Lung Cancer,mesothelioma,Male,DSMZ
ACH-000530,DMS114_LUNG,DMS 114,687983,1495,Lung SCLC,carcinoma,Male,ATCC
ACH-000594,DMS153_LUNG,DMS 153,,,Lung SCLC,carcinoma,Male,ATCC
ACH-000749,DMS273_LUNG,DMS 273,687985,1862,Lung SCLC,carcinoma,Female,ECACC
ACH-000844,DMS454_LUNG,DMS 454,,,Lung SCLC,carcinoma,Male,ECACC
ACH-000698,DMS53_LUNG,DMS 53,907295,580,Lung SCLC,carcinoma,Male,ATCC
ACH-000703,DMS79_LUNG,DMS 79,753551,300,Lung SCLC,carcinoma,,ATCC
ACH-000981,DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DND-41,1297446,1035,Leukemia,lymphoid_neoplasm,Male,DSMZ
ACH-000056,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH-2,906842,1339,Lymphoma,lymphoid_neoplasm,Male,DSMZ
ACH-001341,DOTC24510_CERVIX,DoTc2 4510,906843,473,Cervical Cancer,Cervix carcinoma,Female,
ACH-001063,DOV13_OVARY,DOV13,1479987,1897,Control,ovary,Female,Acd Lab
ACH-000979,DU145_PROSTATE,DU-145,905935,872,Prostate Cancer,carcinoma,Male,ATCC
ACH-000258,DU4475_BREAST,Du4475,906844,302,Breast Cancer,Basal,Female,ATCC
ACH-000925,DV90_LUNG,DV-90,,,Lung NSCLC,adenocarcinoma,,
ACH-000877,EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EB1,,,Lymphoma,lymphoid_neoplasm,Female,ATCC
ACH-001064,EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906846,873,Lymphoma,lymphoid_neoplasm,Female,
ACH-000563,EBC1_LUNG,EBC-1,753554,1665,Lung NSCLC,carcinoma,Male,RIKEN
ACH-000560,ECC10_STOMACH,ECC10,906848,799,Gastric Cancer,carcinoid_tumor,,RIKEN
ACH-000225,ECC12_STOMACH,ECC12,906849,2094,Gastric Cancer,carcinoid_tumor,Male,Riken
ACH-000305,ECGI10_OESOPHAGUS,ECGI10,753555,2138,Esophageal Cancer,squamous_cell_carcinoma,Male,RIKEN
ACH-000435,EFE184_ENDOMETRIUM,EFE-184,,,Endometrial Cancer,carcinoma,Female,DSMZ
ACH-000330,EFM19_BREAST,EFM-19,906851,1786,Breast Cancer,Luminal,Female,DSMZ
