"Drug" "PCC"
"202" "TAK-715" "0.628486491293009"
"203" "Talazoparib" "0.568347130640482"
"204" "Tamoxifen" "0.527370131453875"
"205" "Tanespimycin" "0.643987300748199"
"206" "Temozolomide" "0.58955539853342"
"207" "Temsirolimus" "0.571208546854046"
"208" "TGX221" "0.625022403200372"
"209" "Thapsigargin" "0.565632418786592"
"210" "THZ-2-102-1" "0.602613697784216"
"211" "THZ-2-49" "0.561599340016208"
"212" "Tipifarnib" "0.421987858375429"
"213" "Tivozanib" "0.654156054679721"
"214" "TL-1-85" "0.693253678588261"
"215" "TL-2-105" "0.707692943674845"
"216" "Tozasertib" "0.590578678271646"
"217" "TPCA-1" "0.624416347001296"
"218" "Trametinib" "0.727523483956964"
"219" "Tretinoin" "0.662510417075698"
"220" "Tubastatin A" "0.686916521361135"
"221" "TW 37" "0.547373549138429"
"222" "UNC0638" "0.497507127960158"
"223" "UNC1215" "0.689347609322295"
"224" "Veliparib" "0.512865368523606"
"225" "Vinblastine" "0.590407970638153"
"226" "Vinorelbine " "0.504498791930673"
"227" "Vismodegib" "0.603557676381799"
"228" "VNLG/124" "0.698246792658153"
"229" "Vorinostat" "0.665055460332596"
"230" "VX-11e" "0.588589651908949"
"231" "VX-702" "0.63175066975378"
"232" "Wee1 Inhibitor" "0.481551867145847"
"233" "WH-4-023" "0.557649317863416"
"234" "WHI-P97" "0.530677445007377"
"235" "WZ-1-84" "0.569063027675969"
"236" "WZ3105" "0.649188349340482"
"237" "XAV939" "0.528094994988331"
"238" "XMD11-85h" "0.551523041743663"
"239" "XMD13-2" "0.667487799397118"
"240" "XMD14-99" "0.71462149541878"
"241" "XMD15-27" "0.689608434149406"
"242" "XMD8-85" "0.65796332741068"
"243" "XMD8-92" "0.522898028753919"
"244" "Y-39983" "0.644780930847032"
"245" "YK-4-279" "0.586460419094732"
"246" "YM201636" "0.53655211769697"
"247" "Z-LLNle-CHO" "0.656023011359925"
"248" "ZG-10" "0.544086778552971"
"249" "Zibotentan" "0.638368878863421"
"250" "ZM447439" "0.565624167596521"
"251" "ZSTK474" "0.542709864813738"
