ACC BLCA BRCA CESC CHOL COAD ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA UCEC UCS UVM
AS605240 1 1 1.30634713497368e-19 0.00306158678368067 1 1 1 1 1 1 1 1 1 1 0.00243272853333021 1 1 1.43223344303862e-07 1 1 1 1 1 6.59214686669215e-207 0.817426474531032 5.6064234691784e-57 1 0.00813795808189773 1 5.90040389360855e-57
AT.7519 1 0.199582975764142 0.0024333069886686 2.03015677963441e-29 1 1 0.227611650421365 1 1.36753061297563e-52 1 1 1 1 1 0.676883972365376 4.41994061305519e-07 5.29498329556806e-06 1 1 1 1 1 0.0194226011178323 0.019642060968433 4.231440256089e-05 1.20205086853144e-40 8.69424235928905e-07 1 1 1
Avagacestat 1 3.44004805846377e-06 1 4.02331895967315e-10 1 1 1.05065130146011e-10 1 3.04642634406057e-137 1 1 1 1 1 1 9.34800901091029e-37 1 1 1 1 1 1 1 0.00312361828567548 1 2.31047841629612e-10 1 1 1 1
Axitinib 1 1 1 1 1 1 1 0.0133395624755952 1 1 1 1 2.33936930875104e-13 1.13087931507888e-190 1 1 0.451042015439041 1 1 1 1 1 5.31996859461e-49 0.00312361828567548 1 8.31630655634481e-21 1 1 0.00192428426697923 1
AZ628 1.26099453821637e-21 5.97129298176716e-05 1.30634713497368e-19 1 1 0.0183642502223345 0.60669316702426 1 1 1 1 1 1 0.0378264893791292 1 1 1 1 1 1 1 1 6.30277300818034e-07 9.55522959056971e-321 0.0208807741807118 1 1 1 1 5.35310028027589e-41
AZD6482 1 0.244811360583826 3.42322959148097e-17 1 1 1 1 1 0.406988132232025 1 0.00196363285103065 3.17901040588285e-06 1 1.07182658281603e-29 1 1 0.000359482420664062 1 1 1 1 1 3.92876769360909e-51 0.391578665832611 1 1 1 1 1 1
AZD7762 1 0.129749033612065 2.69681766899682e-13 1 1 1 1 1 2.18102509707131e-06 1 5.02584395618237e-06 1 1 0.0678486875556899 0.076131061221492 0.000466245127615837 6.81001051311835e-09 3.27699103467418e-06 1 1 1 1 3.78776676479364e-61 9.65742352842603e-31 1 2.5318627382998e-58 1 1 0.0228611022719651 1
AZD8055 0.0603156578239249 0.000678481840872221 0.55491661147179 0.0305800487966977 1 1 1 0.00101078825773262 0.00247732613240744 1 1.06793928112743e-06 1 0.0121919034129043 1.30970033667655e-89 1 0.833151732914157 1 1 1 1 1 1 0.00199717356368648 1.31131390821684e-42 1 0.000168590502331933 1 1 1 0.121030370424144
BAY.61.3606 1 0.00696719456162081 4.90441718039762e-12 1.41873378822063e-08 1 1 0.389870219068331 1 0.0291237764207242 1 3.05454115227876e-07 1 1 0.714866719264392 0.00243272853333021 0.207172416603339 0.0407100627099086 0.00305850211389887 1 1 1 1 7.21045946827592e-46 0.3291268284114 1 1.59737877283271e-115 1 0.290671348982448 3.39504566881882e-06 1
Belinostat 1 0.0482918499946641 2.82293234606565e-07 0.687217237536581 1 1 1 0.00210485127650294 0.00495325000757623 1 1 1 3.17960371873777e-81 1 1 0.00420035804460467 6.81001051311835e-09 9.91306430435896e-12 1 1 1 1 0.00199717356368648 0.713552330350205 1 2.51881947424595e-54 1 0.385757586550673 1 1
Bexarotene 1 0.559921978564493 3.49523818754899e-08 0.107539015345264 1 1 1 1 0.0622092290722538 1 0.837698770527999 1 1 0.903071729125459 4.06404383789398e-05 0.00420035804460467 3.09801693199286e-12 1 1 1 1 1 3.52828268499574e-115 7.04989651132497e-27 1 7.95443640641074e-42 1 0.481792113074837 1 1
BI.2536 1 1.19569406461636e-15 1 1.68264888084782e-122 1 1 0.120442313055646 1 1.64274046727791e-29 1 1 1 1 1 1 6.25154821870584e-19 1 0.181816740197351 1 1 1 1 1 1 1 0.0902730144775148 1 0.0210342619195963 1.04109405147088e-08 1
Bicalutamide 1 0.0101907096576828 1 7.54307306214651e-24 1 1 0.120442313055646 1 2.12282995748113e-42 1 1 1 1 0.00318990880324631 1 8.37884053913905e-91 1 1 1 1 1 1 0.470425833268234 0.019642060968433 1 1.23486128777538e-15 1 1 1 1
BIX02189 1 0.102188030285871 8.92535817490569e-07 0.687217237536581 1 1 1 1 0.00247732613240744 1 1.99394614389186e-07 0.584459847449511 1 0.329783240974126 0.118151645028035 0.399727947121206 1.11364308918101e-06 1 1 1 1 1 1.19651733228827e-15 1.61310149434289e-22 1 4.95262405706435e-80 4.44385223945109e-06 0.481792113074837 1 1
Bleomycin 1 9.57915662590771e-05 1.06162783068364e-15 2.15246494749529e-25 1 1.7807701749054e-56 0.0375852785377065 1 0.1191706760207 1 1 1 1 1 0.000152039289054112 0.00307463387082262 1 5.40753772924588e-07 1 1 1 1.90618366072075e-11 1 0.0270639343377658 0.817426474531032 0.000168590502331933 1 6.29210598286891e-10 1 1
Bleomycin..50.uM. 1 3.44004805846377e-06 1 1.20606319737476e-06 1 1 1.2313245823855e-19 1 1.41188757095333e-161 1 1 1 1 1 1 3.24336915665083e-25 1 1 1 1 1 1 0.885575668804758 0.000328351015906508 1 1 1 1 1 1
BMS.345541 1 0.353018933643968 0.038884114737082 1.35213559227178e-28 1 1 0.863921991597068 1 0.300105267412855 1 0.00141282055454185 1 0.677116982748634 1 0.000152039289054112 0.0198517416936935 1 0.347032310893338 1 1 1 1 1 7.04989651132497e-27 0.000185030065491694 1.54687959195881e-89 1 0.385757586550673 1 1
BMS.509744 1 1 1.44568404997486e-16 1 1 1 1 1 1 1 1 1 8.22827620356982e-22 1 3.20123545058905e-06 4.36250797983129e-06 1 1 0.48421459794742 1 1 1 0.042164492395462 4.80624227625802e-310 0.105634757141734 0.849104040915827 0.000494917421423428 1 1 0.295628810909397
BMS.536924 1 0.00025716080498156 1 1 1 2.67397923854031e-13 3.65269817931902e-14 1 1.06465005113699e-13 1 1 1 1 0.000907408499584217 3.20123545058905e-06 1.96007472249148e-54 1 1 1 1 1 0.052997481685273 1 1 6.10193013325065e-69 5.51788933649951e-05 1 1 1 1
BMS.754807 1 1 1 1 0.0322250931300643 3.48146891306545e-103 0.00569543143706964 1 1 1 1 1 1 0.62681920435466 0.0121591211789203 1 1 1 1.5364852383709e-26 1 1 7.5225620567814e-54 0.10918236398901 0.000900581307790611 1.55689922206411e-39 2.21631294996968e-08 1 1 1.42415855418312e-10 1
Bortezomib 7.32091114988946e-09 1 1 1 1 1 1 5.5696242382864e-30 1 1 1 0.584459847449511 0.755828637221433 3.36869898595442e-15 1 1 0.451042015439041 1 1 1 1 1 0.383667927627521 4.45329048235828e-237 1 1 1 1 1 4.55138570608234e-14
Bosutinib 1 7.50276691472235e-09 2.06316749538771e-18 1.14871804843275e-64 1 1 0.306647563000153 1 3.04642634406057e-137 1 1 1 1 1 1 1.57316750084771e-15 1 1 1 1 1 1 1 1 1 0.0118754319899405 1 1 1 1
Bryostatin.1 0.000515728835795017 4.68587884999837e-18 3.67002890024714e-09 1.00364962451681e-05 1 1 0.00569543143706964 1 1.64274046727791e-29 1 1 0.00573193500479986 1 3.11584103743307e-120 1 0.0198517416936935 1 1 1 1 1 1 1 0.00312361828567548 1 1 1 1 1 1
BX.912 1 1 1 1 1 1 1 0.000238485080969375 1 1 0.00389786562233462 1 4.10477595684267e-218 1 1 4.36250797983129e-06 0.080319816351195 1 1 0.863478486983735 1 1 8.44233251638449e-12 0.626656791217476 0.000496828409135572 2.50867421804794e-38 1 1 1 1
BX795 0.000515728835795017 0.00509037190626407 1 1 1 1 1 6.05112245193131e-07 6.87081068557182e-10 1 1 1 0.00243636845686766 1 1 0.00307463387082262 1 1 1 1 1 1 3.35184222374691e-143 1 1 5.81989910335915e-125 1 1 1 1
Cabozantinib 0.291276571237512 0.0808085576066483 2.06316749538771e-18 0.3464401070874 1 1 0.0582134606872374 0.0368932919727909 0.1191706760207 1 0.0813844698056356 1 0.0121919034129043 0.0199504465362092 0.00243272853333021 0.000466245127615837 1.09107507913976e-09 1.28760463628839e-06 0.605150028004581 1 1 1 1.87516386456652e-88 0.0674330470615742 0.00385377921228133 8.84415121466735e-12 1 0.222123510819405 0.0642781935433018 1
CAY10603 1 1 4.22332778375814e-06 1 1 1 1 6.30089597204522e-13 1 1 1 1 1.01546234383584e-219 1 3.20123545058905e-06 0.000202561367576835 1 0.0103646186889445 1 1 1 1 1 0.00312361828567548 0.000496828409135572 5.71439064265608e-77 1 1 0.208447673544305 1
CCT.018159 1 0.0015531368682536 4.90441718039762e-12 1.35859742480663e-09 1 1 9.85001223673334e-13 1 1.36880536570481e-41 1 1 1 1 1 6.16832147059255e-07 3.68339163148799e-83 1 1 1 1 1 1 0.191251245355681 0.807995735054723 1 1.62423449384839e-12 1 1 1 1
CCT007093 1 0.0193092577136147 0.605987962002729 0.0148160273726528 1 1 1.43001181433412e-06 1 5.22174173022337e-58 1 1 1 1 0.181446645332101 3.20123545058905e-06 9.86257357770119e-74 0.00124349989275412 1 1 1 1 1 0.042164492395462 1 1 1 1 1 1 1
Cetuximab 1 0.353018933643968 1 0.0226189198092572 1 1 4.84725983186904e-12 1 6.32473182229403e-280 1 1 1 1 1 1 2.98346898253116e-23 1 1 1 1 1 1 1 1 0.000185030065491694 1 1 1 1 1
CGP.082996 1 0.726560335192625 1 6.01011168591947e-13 1 1 0.732247470823069 1 6.48057795431864e-06 1 1 1 1 1 1 0.598368285006062 1 0.422744109188817 1 1 1 1 0.0134970861814487 3.74301048521926e-185 1 1 1.21359867744567e-08 1 1 1
CGP.60474 1 0.00696719456162081 1.16933159116727e-05 8.02318528246327e-43 1 1 0.389870219068331 1 0.00119828864646972 1 1 1 1 1 1 0.00149717699598887 5.29498329556806e-06 4.07912524941699e-37 1 1 1 1 7.95614848156723e-41 2.19186431234399e-10 1 1 0.000204683489340617 0.222123510819405 0.208447673544305 1
CHIR.99021 1 1 1 1 1 1 1 1 1 1 3.52011881182553e-145 0.000318559100746026 1 1 1 1 9.54509137537332e-05 1.42699976562671e-47 1 1 1 1 1.85262542736349e-06 0.0270639343377658 1 1 0.675085310200823 0.861700841274659 1 1
CI.1040 1 0.244811360583826 1 1 1 1 1 1 0.00247732613240744 1 0.184251704904886 1 1 1 1 1 1 1 0.0819889919373773 1 1 1 1.7107422429977e-09 9.55522959056971e-321 0.133678750635525 1 1 1 1 5.39136320106404e-44
Cisplatin 1 0.00228198724044337 1 1 1 1 1 3.47928443994052e-140 1.01252440905825e-05 1 1 1 3.45470554513305e-181 1 1 1 1 1 1 1 1 1 0.00339241066414717 0.037618286104156 1 1.86065571513088e-16 1 1 1.93808890005098e-05 1
CMK 1 0.643187659331714 7.20306128811642e-15 1 1 1 0.00290836072116084 1 0.91763222058476 1 0.0138222497696232 1 1 1 0.253362224702543 0.0344653460092803 1.38900348436162e-24 0.0804548377785088 0.48421459794742 1 1 1 3.35184222374691e-143 0.019642060968433 1.96890517182871e-09 1 1 0.000603073471547627 1.4740895717533e-11 1
CP466722 1 0.0266713866350916 1 0.0305800487966977 1 1 1 1 1.01252440905825e-05 1 3.31915808356418e-05 0.492389059708007 1 1 0.00243272853333021 0.141257876469594 0.000359482420664062 1.35760576202491e-50 1 1 1 1 0.00199717356368648 0.037618286104156 1 5.30836412578498e-71 1 6.29210598286891e-10 1.93808890005098e-05 1
CP724714 1 0.102188030285871 2.76169315991733e-280 0.0305800487966977 1 1 1 1 1 1 1 1 1 1 6.16832147059255e-07 1 1 0.0227541930175328 1 1 0.168472543394524 1 1 1 1 1 1 1.65652391996886e-07 1 1
Crizotinib 1 0.486757319351957 7.20306128811642e-15 0.284367358634444 5.12430269985468e-05 6.11439432115276e-06 0.49433772586804 1 1 1 0.184251704904886 1 1 0.0199504465362092 0.000234032914046365 7.94852807130338e-05 1 9.91306430435896e-12 6.49831289107545e-14 1 1 0.144888948314102 8.44233251638449e-12 0.000900581307790611 4.98958071090758e-52 0.341615065849239 1 1 0.00192428426697923 1
CUDC.101 1 0.0808085576066483 0.038884114737082 1.89804370188261e-77 1 1 0.389870219068331 1 5.64514946474635e-21 1 1 1 1 0.000907408499584217 1 0.598368285006062 1 0.00305850211389887 1 1 1 1 0.0134970861814487 2.16514395530969e-25 1 3.77620606497192e-18 1 1 1 1
CX.5461 1 1 1 1 1 1 1 5.07381345463461e-64 1.01252440905825e-05 1 1 1 4.11144100750996e-241 1 1 4.36250797983129e-06 1 0.00305850211389887 1 1 1 1 1 0.0858975017966248 0.301306432563015 8.31630655634481e-21 1 1 1 1
Cyclopamine 1 0.162015300255546 0.104664187494688 1 1 0.0260223642229227 1 1 2.28027075170148e-07 1 6.80994438660926e-33 1 1 0.0678486875556899 0.0121591211789203 1.96165954725816e-05 0.451042015439041 0.0595343916963719 1 1 1 5.97683519320846e-05 5.2592351709602e-23 0.221617576408802 0.00169670293554273 1.70753829646024e-05 1 1 3.64750138282322e-18 1
Cytarabine 1 0.0352018578390209 1.80665733263093e-17 0.284367358634444 1 1 0.863921991597068 1 0.001812537237511 1 1 1 1 1 1 0.169819800271113 3.08887596523529e-33 6.81513263203588e-13 1 1 1 1 3.94798939926628e-91 0.00130695714961176 1 0.000168590502331933 1 0.0514537792457663 2.23556675334778e-19 1
Dabrafenib 1 1 1 1 1 1 1 1 1 1 3.05454115227876e-07 1 1 0.00022803659940459 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1.62515067527645e-104
Dacinostat 1 8.520456697101e-12 0.0267700617541783 1.35213559227178e-28 1 0.890056004432422 1 1 0.604850622536863 1 1 1 1 0.714866719264392 4.06404383789398e-05 0.399727947121206 1 0.138930528679948 1 1 1 1 1 0.000216340587077036 1 1.85532022422594e-75 1 1.37911805586732e-15 1 1
Dactolisib 1 0.000979799060353581 2.06316749538771e-18 0.788478222046226 1 1 0.389870219068331 1 1.64274046727791e-29 1 0.100490351196089 1.2897054885474e-08 1 2.09762355890579e-06 1 5.76818619797598e-11 1 1 1 1 1 1 3.4666546184833e-19 7.49270006327956e-06 0.0107432584609334 0.568088054109521 1 1 1 1
Daporinad 1 1 1 0.687217237536581 1 1 1 2.72947045136013e-53 0.00247732613240744 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1.23486128777538e-15 1 1 1 1
Dasatinib 1 2.71747333257427e-10 1 0.591689439437503 1 1 9.85001223673334e-13 1 1.22776419395164e-37 1 1 1 1 1 0.000367895465644806 1.96007472249148e-54 3.08887596523529e-33 0.347032310893338 1 1 1 1 6.30277300818034e-07 1 4.231440256089e-05 1 1 1 1 1
DMOG 1 0.353018933643968 1.30634713497368e-19 0.00306158678368067 1 1 1 1 1 1 2.44868758841054e-86 1 1 2.84023510758712e-31 0.603712758390689 2.45185966859847e-06 1 1 1 1 1 1 6.62595187887517e-06 0.464999857818802 1 1 0.208140008567197 1 1 1
Docetaxel 1 0.0015531368682536 1 0.591689439437503 1 1 1.15323445214946e-36 1 9.67060006436916e-200 1 1 1 1 1 1 3.18592767066915e-32 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Doramapimod 1 0.162015300255546 1 0.0226189198092572 1 1 7.94564779486725e-09 1 1.58418198493807e-66 1 1 1 1 1 1 5.74162757385926e-80 1 1 1 1 1 1 1 0.00710307346420632 1 3.5817042059386e-49 1 1 1.24903856669315e-13 1
Doxorubicin 1 7.50276691472235e-09 3.49523818754899e-08 3.51900467882672e-26 1 1 4.40205995673522e-05 1 9.14592696910822e-25 1 1 1 1 1 0.0219047935368601 1.59050346430246e-19 1 0.687471553601534 1 1 1 1 1 1 1 7.5900684055801e-34 1 7.98964140894939e-15 0.0642781935433018 1
EHT.1864 1 1 8.92535817490569e-07 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0.00710307346420632 1 1.1634503580212e-66 1 1 5.4020370878013e-07 2.66166035373297e-20
Elesclomol 0.598057708403256 1 2.82293234606565e-07 0.591689439437503 1 1 0.60669316702426 1 0.1191706760207 1 1.06793928112743e-06 1 1 1 1 0.057478042696765 2.18040489876569e-07 0.502208380088726 1 1 1 1 2.97613468871277e-26 4.69010706586787e-62 1 4.28169651308468e-68 1 0.0210342619195963 3.40003222430572e-30 1
Embelin 1 0.102188030285871 1.44568404997486e-16 0.107539015345264 1 1 0.863921991597068 1 0.00951880256348695 1 1 1 1 1.21933269316765e-26 1 0.207172416603339 1 1 1 1 1 1 1 2.45617142813962e-246 1 3.67808963884872e-07 1 1 1 4.79707667718193e-15
Entinostat 1 0.000678481840872221 8.92535817490569e-07 1 1 1 1 3.45688737329394e-12 0.000109250925312516 1 1 1 2.15081601192228e-44 1 0.000152039289054112 0.833151732914157 1 0.0595343916963719 1 3.42431182622684e-51 1 1 8.52113453959545e-29 5.76879631725339e-16 0.0208807741807118 0.449900611955713 1 1 1 1
Enzastaurin 1 0.102188030285871 0.038884114737082 0.0103226890585751 1 1 1 1 1 1 1 1 1 1 5.29038462710545e-47 0.0153806096671178 1 9.18291245596722e-95 1 1 1 1 1 0.0494233545775229 0.133678750635525 0.0549400503593898 5.59456657394589e-05 1.25432089229336e-12 1 1
Epothilone.B 1 0.41432189057384 1 1.50499339838806e-63 1 1 1.78863858786368e-20 1 1.3094858908592e-101 1 1 1 1 1 1 1.13077219864081e-45 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Erlotinib 1 0.0614091420245157 1 6.35410900863576e-67 1 1 0.000196703005877339 1 2.57635778863348e-99 1 1 1 1 1 1 4.85330153134253e-59 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Etoposide 1 0.559921978564493 1 8.77495086817534e-15 1 1 1.47206855664114e-05 1 9.89384878982474e-15 1 1 1 1 1 1 4.42777230798721e-108 1 3.27699103467418e-06 1 1 1 1 0.310911060933807 0.00970447558829045 1 1 1 0.158743383549649 1.4740895717533e-11 1
Fedratinib 1 0.00509037190626407 2.40204759330571e-11 1 1 1 1 0.351991930267659 2.18102509707131e-06 1 4.62183149709448e-11 1 4.08315556275713e-05 0.114923438768434 0.404340021718218 0.245670278044477 5.29498329556806e-06 0.78901681937033 1 1 1 1 8.13034116617084e-42 0.3291268284114 0.00385377921228133 3.25509363500147e-145 1 1 7.83910387738723e-08 1
FH535 0.000515728835795017 1 1.35656455284541e-09 1 1 1 1 1 1 1 1 1 1 3.85682498255705e-243 1 0.141257876469594 1 1 1 1 1 1 1 3.27323885171224e-65 1 0.568088054109521 1 1 1 3.6705001473121e-05
FMK 1 1 1.30634713497368e-19 0.000701382570262446 1 1 1 1 0.468528803397644 1 1.06793928112743e-06 1 1 1 1 0.916147140482313 0.0113214450770552 0.285883695606992 1 1 1 1 0.383667927627521 8.21721118844362e-128 1 9.93983012419793e-105 1 0.0789357690231947 1 1
Foretinib 1 0.00228198724044337 1 1 1 1 1 4.61729603382583e-101 1 1 0.000202265372916297 1 4.36630196237028e-114 1 1 0.00820885172614636 0.451042015439041 1 1 1 1 1 5.20455574130324e-36 1 1 1.70753829646024e-05 1 1 1 1
FR.180204 1 0.0139678884144103 1.30634713497368e-19 0.00306158678368067 1 0.00804440188339467 1 0.452624424523901 1 1 1 1 0.253366169796239 1 0.00114661521958342 0.342497346512514 1 2.53471139669729e-29 1 1 1 1 0.10918236398901 3.58709187951806e-29 1 2.89152404324623e-108 1 5.99086304636646e-07 1.04109405147088e-08 1.082166415326e-58
FTI.277 1 3.44004805846377e-06 1.80665733263093e-17 0.138179898957341 1 1 0.60669316702426 1 9.75733981704885e-62 1 1.06793928112743e-06 1 1 1 1 9.15084238844725e-18 0.080319816351195 1 1 1 1 1 5.96344015568642e-09 7.80672777666398e-18 1 9.26911893804561e-33 1 1 1 1
Gefitinib 1 0.293874539086203 1 6.11492946329737e-56 1 1 4.69501043967754e-06 1 4.58231443946713e-132 1 1 1 1 1 1 3.08455407805765e-48 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Gemcitabine 1 0.000979799060353581 1.80665733263093e-17 5.63043494986752e-27 1 1 0.0582134606872374 1 8.20885768526304e-29 1 3.05454115227876e-07 1 1 0.114923438768434 1.47960202343531e-05 1.57316750084771e-15 1 0.347032310893338 1 1 1 1 1 0.000900581307790611 1 5.6064234691784e-57 1 1 1 1
Genentech.Cpd.10 1 0.244811360583826 0.460504395166522 1 1 1 1 1 1 1 0.000652619740127683 0.0390297744289285 1 1 0.00114661521958342 0.0344653460092803 1.64160880820687e-10 1.28755636739188e-51 1 1 1 1 8.40976784258063e-24 1 1 4.63883666802776e-36 1 9.98437689912875e-29 1.41021977582505e-12 1
GNF.2 1 0.00333716768723338 3.24109509605112e-10 8.55209569761754e-53 1 1 1 1 6.82820240849957e-17 1 1 1 1 1 3.20123545058905e-06 2.98346898253116e-23 1 0.502208380088726 1 1 1 1 0.0194226011178323 8.69450989887596e-20 1 5.00499733068828e-06 1 1.40934739354185e-10 0.208447673544305 1
GSK1070916 1 1 1 1 1 1 1 5.94772209651433e-29 1 1 1 1 1.62081137554645e-279 1 1 1 1 0.00305850211389887 1 1 1 1 1 0.019642060968433 1 3.06990102854184e-65 1 1 0.00707431860351838 1
GSK1904529A 1 0.00228198724044337 6.10565745983348e-05 1 1 1 1 1 0.1191706760207 1 1 1 1 0 1 0.000202561367576835 1 1 1 1 1 1 1 0.00312361828567548 1 7.86631621420345e-64 1 1 1 1
GSK269962A 1 5.97129298176716e-05 1 1 1 1 1 1 1 1 1.12871831921537e-13 0.00573193500479986 1 5.81485133649236e-153 1 1 2.18040489876569e-07 1 1 1 1 1 7.71964025129646e-94 0.00710307346420632 1 1.39186414406588e-06 1 1 1 1
GSK319347A 1 0.0139678884144103 9.16880706706579e-10 1 1 7.17656340096588e-61 0.172863287757807 1 1 1 1 1 1 1 1 0.00420035804460467 1 0.502208380088726 1 1 6.30446092490434e-06 8.82571547911646e-28 5.84400112100319e-05 0.000900581307790611 0.082869202443305 0.849104040915827 1 4.17842736131675e-23 2.64903330085357e-27 1
GSK429286A 1 0.00025716080498156 1 1 1 1 1 6.05112245193131e-07 1 1 3.05454115227876e-07 1 8.49257432716266e-243 1 1 1 1 1 1 7.20558650507854e-55 1 1 5.84400112100319e-05 0.0858975017966248 1 9.24924235920371e-08 1 1 1 1
GSK650394 1 0.0193092577136147 1.06162783068364e-15 6.06745527076539e-32 1 0.00804440188339467 4.40205995673522e-05 1 8.20885768526304e-29 1 1 1 1 8.76791794512663e-06 0.118151645028035 1.55655162278726e-37 1 1 1 1 1 1 1 1 1 1.23486128777538e-15 1 0.0789357690231947 1 1
GSK690693 1 0.00228198724044337 8.29765927178793e-14 1.31318697737908e-07 1 1 0.49433772586804 0.851759534628244 0.533946039603688 1 1 1 1.20273983758238e-17 1 3.20123545058905e-06 0.113065516844005 1 1 1 1 1 1 0.470425833268234 0.019642060968433 4.231440256089e-05 6.46440230443656e-48 1 1.65652391996886e-07 1 1
GW.2580 1 0.129749033612065 2.82293234606565e-07 2.1951232958099e-05 1 1 0.389870219068331 1 0.406988132232025 1 1 1 1 9.09776770472805e-11 0.467624633820662 6.7212406633633e-24 1 1 1 1 1 1 1 8.01560404431339e-22 1 5.71439064265608e-77 1 0.385757586550673 1 1
GW441756 1 0.0193092577136147 0.00491495363688706 8.77662486414481e-44 1 1 0.389870219068331 1 1.09079092436377e-11 1 1 1 1 0.0678486875556899 9.9162889328478e-06 4.18937555372792e-49 1 0.0804548377785088 1 1 1 1 1 0.3291268284114 1 0.0218335198162051 1 1 1 1
GW843682X 1 6.2024552266882e-67 1 4.60532617792929e-68 1 1 0.00041095665647054 1 3.24538252074422e-43 1 1 1 1 1 1 3.24336915665083e-25 1 1 1 1 1 1 1 1 1 1 1 1 1 1
HG.5.113.01 1 0.00333716768723338 1 1.9649492618224e-35 1 1 1.17836375506704e-15 1 3.31020754036569e-123 1 1 1 1 1 1 6.94893716043714e-26 1 1 1 1 1 1 1 1 1 0.000486087151116454 1 1 0.000464150762896257 1
HG.5.88.01 1 0.00228198724044337 1 1 1 0.410586967874044 0.0375852785377065 1 1.37470936672697e-21 1 0.0138222497696232 1 1 1 0.00243272853333021 5.76818619797598e-11 0.624153887175625 1 3.14868293531476e-72 1 1 0.810994525122437 1 1 4.31019933908262e-51 0.0549400503593898 0.00317845063246302 1 1 1
HG6.64.1 0.291276571237512 0.244811360583826 1.30634713497368e-19 1 1 1 0.0375852785377065 1 4.23883034366243e-05 1 0.412111674396007 1 1 8.67899659328652e-48 1 1.84272187550248e-14 1.64160880820687e-10 1 1 1 1 1 6.64848713528654e-47 4.32710426673098e-05 1 0.0549400503593898 1 1 1 1
