ACC BLCA BRCA CESC CHOL COAD ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA UCEC UCS UVM
Bleomycin 1 1 0.0219388907468592 1 1 1 1 1 1 1 1 1 9.9150183778908e-06 1 0.00648197182245031 1 1 1 1.99835016700125e-29 2.75762093347785e-29 6.30162059411802e-142 1 1 1 0.165324915796627 1 2.01830216007904e-05 1 1 1
Bleomycin..50.uM. 1 1 0.000666713794067513 1 1 1 1 1 1 5.54215711444658e-30 0.000652619740127683 0.00573193500479986 1 1 0.253362224702543 1 1 1 0.293882187541154 1 7.21379347927442e-263 1 1 1 0.082869202443305 1 1 1 1 1
BMS.345541 1 1 0.000279659342372432 1 1 1 1 1 1 1 1 1 1 6.69083799763322e-13 0.0471758717119073 1 1 1 3.4928870594507e-16 1 4.02235351978893e-174 1 0.0194226011178323 1 0.165324915796627 1 1 1 1 1
BMS.509744 1 0.907213057601225 1.97551862000286e-10 1 1 1 1 1 1 1 1 1 1 2.96439387504748e-323 0.000152039289054112 0.00149717699598887 1 0.0227541930175328 1 1 1 1 1 1 1 0.706796262652279 1 0.158743383549649 1 1
BMS.536924 1 1 4.69655832182639e-71 1 1 1 1 1 1 2.66581013773089e-70 8.23988784148622e-05 1 0.000368409469385924 1 1 1 1 1 1 1 6.04361045599558e-38 1 1 1 1 1 7.38468821956318e-15 1 1 1
BMS.754807 1 1 5.35805759340794e-111 1 1 1 1 0.258415462697688 1 1 1 1 4.76235453129264e-77 1 1 1 1 0.285883695606992 1 1 6.30446092490434e-06 1 1 1 1 1 0.00317845063246302 0.222123510819405 1 1
Bortezomib 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.000187546467292724 1 1 1 1 1 1 1 1 1
Bosutinib 1 1 0.941280294370223 1 1 1 1 3.88177921118028e-08 1 3.01690978650859e-15 1 1 3.22208635879201e-18 1 1 1 1 1 1.37190481053656e-36 7.11020800175568e-22 2.5294179084123e-71 1 1 1 0.205473485756146 1 1 1 1 1
Bryostatin.1 1 1 1 1 1 0.0388918508292957 0.389870219068331 6.30089597204522e-13 1 1 1 1 2.10410110438266e-151 1 9.9162889328478e-06 1 1 1 0.48421459794742 1.18171424707228e-149 2.82708119390804e-05 1 1 1 0.0380328907132057 1 1 1 1 1
BX.912 1 5.97129298176716e-05 7.29048920806996e-294 1 1 0.0964832981439991 0.389870219068331 1 1 1 1 0.27215932474731 1 1 1 1 1 1 1 1 0.598100751575496 1 1 1 0.205473485756146 1 1 1 1 1
BX795 1 0.129749033612065 5.07116245691019e-112 0.181823694982284 1 1 1 1 1 1 1 1 1 1 0.000152039289054112 1 1 3.27699103467418e-06 1 1 2.441626906491e-33 1 1 1 1 1 1 0.000291576279633067 1 1
Cabozantinib 1 1 3.9703163062952e-259 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.441626906491e-33 1 1 1 1 1 1 1 1 1
CAY10603 1 1.93196868181269e-17 4.55033419361306e-14 0.3464401070874 1 1 0.0375852785377065 1 0.000109250925312516 1 1 3.17901040588285e-06 1 0.329783240974126 9.9162889328478e-06 0.00820885172614636 1 1 1.77292190866683e-12 1 4.87422956333342e-86 1 0.383667927627521 0.464999857818802 0.301306432563015 1 0.402303691828798 1 1 1
CCT.018159 1 1 1.35656455284541e-09 1 1 1 1 1 1 2.66581013773089e-70 0.305026906473616 0.680384682564582 1 1 0.0161765492689792 1 1 1 2.0645212539276e-15 1 1.70544777597446e-187 1 1 1 0.355248171138962 1 4.44385223945109e-06 1 1 1
CCT007093 1 1 1 0.501778313394486 1 7.92099229915547e-140 0.00569543143706964 1 1 3.11042648677156e-11 1 1.24193027208219e-07 1 1 4.06404383789398e-05 1 1 0.893373295496982 8.41179048994676e-10 0.0227067748786299 1 5.16816408017373e-42 1 1 5.7263888709525e-12 1 0.402303691828798 1 1 1
Cetuximab 1 1 9.79825405088782e-73 1 1 1 1 0.258415462697688 1 1 1 1 0.00243636845686766 8.76791794512663e-06 4.06404383789398e-05 1 1 0.0595343916963719 1 1 7.71622113789041e-05 1 1 1.03455313929064e-41 1 6.02569984342074e-35 1 0.725400411649777 1 1
CGP.082996 1 1 1 1 2.46107429508902e-23 1 1 1 1 1 0.0138222497696232 1 1 0 0.00243272853333021 1 1 1 1 1 1 1 1 1 4.231440256089e-05 0.000168590502331933 1 1 1 1
CGP.60474 1 1 1 1 5.30952970246144e-16 1 1 1 1 1 1 1 1 0 0.00243272853333021 1 1 1 0.386649830490189 1 0.751870960166972 1 1 1 0.00385377921228133 0.0549400503593898 1 1 1 1
CHIR.99021 1 0.000678481840872221 2.77500042939482e-06 6.87545728436652e-05 1 1 4.84725983186904e-12 1 0.000109250925312516 2.06547180671607e-09 1 1 1 9.09776770472805e-11 0.0121591211789203 0.0153806096671178 1 1 0.222678440168948 1 4.33110784098643e-34 1 1 1 5.7263888709525e-12 1 1 1 1 1
CI.1040 1 1 7.57428518285312e-220 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.35522965005886e-32 1 1 1 1 1 1 0.222123510819405 1.93808890005098e-05 1
Cisplatin 1 1 1.00673849274228e-53 1 0.0322250931300643 0.890056004432422 0.389870219068331 1 1 1 1 1 1 1 0.000367895465644806 1 1 1 1.81132743985032e-61 1 1.70519589819576e-61 0.810994525122437 1 1 0.355248171138962 1 1 1 1 1
CMK 1 0.0808085576066483 0.0219388907468592 1 1 0.410586967874044 0.172863287757807 1 1 0.0460663626911023 1 0.0753595046414339 1 1.84658964325812e-154 0.0219047935368601 1 1 1 0.386649830490189 1 7.56501832210793e-35 0.810994525122437 1 1 1 1 1 1 1 1
CP466722 0.598057708403256 0.244811360583826 1.06162783068364e-15 1 1 1.6342379795695e-11 0.49433772586804 1 1 1 1 1 1 6.69083799763322e-13 0.000367895465644806 1 1 1 4.6292409784783e-42 1.95313048839002e-80 0.396438284859737 7.36983916850124e-07 1 1 1.46343848214473e-13 1 1 1 1 1
CP724714 1 1 1 1 1 1 1 1.37421092699447e-54 1 1 1 1 3.32315888565104e-120 1 3.20123545058905e-06 1 0.624153887175625 1 8.76302387598161e-12 4.81241278742688e-97 1.24918847909842e-06 1 0.147369534955769 1 1 1 8.69424235928905e-07 1 1 1
Crizotinib 1 1 2.79081268961898e-14 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
CUDC.101 1 1 1 1 1 0.0964832981439991 1 1 1 2.06547180671607e-09 0.412111674396007 3.41777157541209e-60 1 0.00022803659940459 0.253362224702543 1 1 1 1.8844087320033e-28 1 2.87403279042384e-143 1 1 1 1 1 1 1 1 1
CX.5461 1 1 1.01498652613233e-87 1 1 1 1 1 1 1 1 1 1 0.0505672569416437 1 1 1 1 1 1 5.69179436642941e-157 1 1 1 1 1 1 1 1 1
Cyclopamine 1 1.29218443378302e-38 1 1 0.00825306933562802 1 0.49433772586804 1 1 0.384344128580942 1 1 5.90762437025106e-70 1 1 1.96165954725816e-05 1 1 8.3195461261028e-06 3.74405297293962e-20 4.33110784098643e-34 1 1 1 0.0107432584609334 1 1 1 1 1
Cytarabine 1 1 1.90236078785343e-21 1 1 1 1 1 1 6.55817186685079e-21 5.02584395618237e-06 1 1 1 0.0121591211789203 1 1 1 0.0527258989585302 2.21654266758144e-92 3.77575856951027e-53 1 1 1 4.231440256089e-05 1 1 1 1 1
Dabrafenib 1 0.244811360583826 5.04692057667883e-21 0.788478222046226 1 0.167568053130604 1 1 1 1 1 1 0.00115404478739583 1 0.118151645028035 1 1 0.00699102278342556 0.863170380420637 1 1.83495162827993e-117 1 1 1 4.231440256089e-05 0.849104040915827 1 0.601690745283257 0.0228611022719651 1
Dacinostat 1 1 4.90441718039762e-12 1 1 1 0.172863287757807 1 1 1 1 1 0.917430434737203 1 4.06404383789398e-05 1 1 1 2.69290684151389e-94 2.34806634971776e-83 2.59999460993027e-16 1 0.000698371356331211 1 4.42252742584066e-22 1 1 1 1 1
Dactolisib 1 0.162015300255546 0.0553407899077145 0.00306158678368067 1 0.000752053267209247 1 1 1 1 1 1 1 1 0.676883972365376 4.36250797983129e-06 1 1.17777360712749e-249 1 1 1 0.237541952232501 1 1 4.231440256089e-05 1 1 3.11203643694703e-48 1 1
Daporinad 1 1 1.0823401450119e-309 1 1 1 1 1 1 1 1 1 1 1 3.20123545058905e-06 1 1 1 1 1 7.29820239677738e-07 1 1 1 1 1 1 1 1 1
Dasatinib 1 1 1.18321320080231e-18 1 1 3.00096101785264e-64 1 1 1 1 1 1 1 0.62681920435466 1 1 1 1 1 1 2.30960667400758e-98 4.4150526489664e-14 1 1 0.301306432563015 1 1 1 1 1
DMOG 1 1 4.04885060493522e-07 0.00306158678368067 1 1.83556689336584e-167 0.0149727587975945 1 1 1 1 1 1 1 1 1 1 0.0103646186889445 1 1 4.65465228948006e-05 5.17978747756814e-57 1 1 0.000716227003732143 1 1 0.0789357690231947 1 1
Docetaxel 1 1 0.0119387319121266 0.0103226890585751 1 1 1 1 1 5.48457854797185e-47 0.000652619740127683 4.19695268532594e-98 0.0377759694316967 0.00022803659940459 0.603712758390689 8.59360343630573e-07 1 0.181816740197351 0.863170380420637 8.09301131868877e-88 0.203409580854415 1 1 1 1 1 2.01830216007904e-05 1 1 1
Doramapimod 1 1 0.00187459618551153 0.0103226890585751 1 1.79671808112129e-21 0.00569543143706964 1 1 3.01690978650859e-15 3.05454115227876e-07 1.67781091556018e-45 1 1 0.0219047935368601 1 1 1 0.00154514893329891 1 5.73565982540439e-08 5.97683519320846e-05 1 1 4.12480602865426e-14 1 2.01830216007904e-05 1 1 1
Doxorubicin 1 1 0.825095737812513 1 1 1 1 1 1 1 1 1 1.39028931537162e-20 1 1 1 1 1 0.222678440168948 3.23777970439115e-61 1.74381383504822e-184 1 1 1 1 1 1 1 1 1
EHT.1864 1 0.244811360583826 1 1 1 0.0260223642229227 0.227611650421365 1 1 1 1 1 7.38218201266706e-13 1 0.467624633820662 1 1 0.044110989417728 0.00884956886196651 7.83816078431121e-85 1 3.42479259316011e-06 1 1 0.000716227003732143 1 7.34774973259243e-39 1 1 1
Elesclomol 1 1 1 1 1 4.69803209023946e-45 0.49433772586804 1 1 1 1 1 0.00652025565350259 1 3.94960456977485e-17 1 1 1 1.81132743985032e-61 1 1 2.79321404034954e-08 1 1 6.4748750722701e-112 1 1 1 1 1
Embelin 1 5.97129298176716e-05 5.04692057667883e-21 1 1 0.678257278227668 1 1 1 1 1 1 0.211320026050218 1 0.404340021718218 1.96165954725816e-05 1 1 2.00978616279471e-32 8.75547390220252e-166 7.71622113789041e-05 0.0266030358303936 1 1 0.488287534905093 1 1 0.222123510819405 1 1
Entinostat 1 1 1 1 1 1.53406449801511e-66 0.227611650421365 1 1 1 1 2.46320690832948e-05 1 9.93890608556471e-249 1 1 1 1 1 1 1 5.91673494662787e-16 1 1 0.105634757141734 1 1 1 1 1
Enzastaurin 1 1 1 1 1 1 1 0.707978692604348 1 1 1 1 2.11642493397095e-33 1.10755848019973e-200 1 1 1 1 1 2.57934407990253e-28 0.289122772990931 1 0.0194226011178323 1 1 0.0118754319899405 1 1 0.208447673544305 1
Epothilone.B 1 1 2.2229702081388e-155 1 1 1 1 1 1 1.50383760622573e-08 1 1 1 1 0.076131061221492 1 1 1 4.17088634770692e-11 0.605139596922535 1.5958592276308e-11 1 1 1 0.048941277102817 1 0.0578335887505586 1 1 1
Erlotinib 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.396438284859737 1 1 1 1 1 1 1 1 1
Etoposide 1 1 5.90511585557702e-16 1 1 0.0964832981439991 1 1 1 0.00532345703534946 1 1 4.08315556275713e-05 1 3.20123545058905e-06 1 1 1 7.7448211331959e-40 4.07947696052503e-09 2.3067737720222e-105 1 1 1 0.000716227003732143 1 1 1 1 1
Fedratinib 1 6.58624936297043e-08 3.90010688689034e-214 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.5958592276308e-11 1 1 0.000328351015906508 1 1 1 1 1 1
FH535 1 1 1 1 1 1 1 1 1 1 1 1 5.40504339706996e-146 1 0.00114661521958342 1 1 1 3.4928870594507e-16 1.21275940680578e-211 1 1 1 1 0.565325828026708 1 1 1 1 1
FMK 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Foretinib 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.0002787855931747 1 1 1 1 1 1 1 1 1
FR.180204 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
FTI.277 1 1 0.00145826456837244 1 1 0.271356743807779 1 1 1 6.44266419112139e-75 0.124811016790985 0.0535012364448005 2.19340267163109e-28 0.714866719264392 0.000367895465644806 8.59360343630573e-07 1 0.502208380088726 0.605150028004581 1.7744269093273e-25 0.000114253258179864 1 1 1 0.048941277102817 1 0.114426340373723 0.290671348982448 1 1
Gefitinib 0.291276571237512 1 0.0893054077553497 1 1 1 1 1 1 1 1 1 5.56894114343119e-20 1 1 1 1 1 0.00884956886196651 7.77339558617073e-68 5.32727149827617e-115 1 1 1 0.000185030065491694 1 0.171190380898932 1 1 1
Gemcitabine 1 1 7.27885148787728e-46 1 1 1 1 1 1 0.000387623919491319 2.12998968577025e-05 1 1 0.329783240974126 1 1 1 1 0.863170380420637 1 1.91926964282949e-90 1 0.000388079751188232 1 0.0646746152465404 1 1 1 1 0.121030370424144
Genentech.Cpd.10 1 0.0101907096576828 7.50221422803121e-11 1 1 0.0517856789265793 7.94564779486725e-09 1 1 1.50383760622573e-08 1 1 9.9150183778908e-06 1 0.531815573681695 1 1 1 7.39042237797664e-54 1 5.13413695649663e-18 0.000769372696515808 1 1 3.1281273855813e-84 1 1 1 1 1
GNF.2 1 1 1 1 0.00177399533543392 0.678257278227668 1 1 1 1 1 1 1 2.06177739232114e-88 1 1 1 1 1.90386207997038e-33 6.36367953320315e-08 8.46236906338389e-57 1 1 1 3.99650333344283e-24 1 1 1 1 1
GSK1070916 1 0.0193092577136147 7.57428518285312e-220 1 1 1 1 1 1 8.94963004297538e-05 8.23988784148622e-05 1 1 1 4.06404383789398e-05 1 1 1 0.605150028004581 1 0.0028423204883492 1 1 1 0.0107432584609334 1 1 1 1 1
GSK1904529A 1 0.000678481840872221 7.50221422803121e-11 1 1 0.678257278227668 1 0.131093989166456 1 1 1 1 0.000238983563225099 1 9.9162889328478e-06 1 1 4.7986171776234e-08 5.62561584825296e-08 1.29394041932643e-47 1.52360366991639e-78 1 0.0194226011178323 1 0.000295586097539678 1 0.00828222724721755 1 1 0.600711374660518
GSK269962A 1 6.58624936297043e-08 0.507117296800381 1.01723689810531e-49 1 7.0991813983448e-18 0.00569543143706964 1 0.604850622536863 1 1 1 1 1 0.834975775520711 1 1 2.34704083528246e-15 1 1 0.0019953077565288 0.00709394030804454 1 1 0.301306432563015 1 1 1.05576163652463e-30 1 1
GSK319347A 1 1 1 1 1 1 0.0582134606872374 0.351991930267659 1 1 0.00748228019950961 1.63380463863438e-44 5.4170083352646e-53 4.67459971210045e-134 1 1 1 1 0.863170380420637 1 1 1 1 1 0.048941277102817 1 1 1 1 1
GSK429286A 1 1.43520259262653e-30 1.20079542274246e-07 0.788478222046226 1 1 0.389870219068331 1 0.00495325000757623 1 1 0.411198739520439 1 1 0.0608036754242283 1 1 7.10302077853678e-05 8.3195461261028e-06 1 1.91926964282949e-90 1 1 1 0.00385377921228133 1 1 1.79254982351344e-20 1 1
GSK650394 1 1 0.038884114737082 1 1 1 1 0.707978692604348 1 0.0460663626911023 1 0.0187792950198981 1.07238851392667e-27 1 1 1 1 0.0227541930175328 1 2.28188029810925e-35 1.88356834327739e-62 1 2.06952653307691e-07 0.141673812672166 0.133678750635525 1 1 1 1 0.121030370424144
GSK690693 4.52889950591676e-08 1 1 1 1 0.0388918508292957 1 1 1 1 1 0.00222769149699273 1 0.542663514652861 0.00243272853333021 1 1 1 1.10608493486116e-89 1 2.53276232201397e-147 1 1 0.0141856273543965 0.301306432563015 1 1 1 1 1
GW.2580 1 0.000678481840872221 1 1 1 0.00804440188339467 1 1 1 1 1 1 1 1 1 1 1 1 7.48858775974439e-07 1 8.5063355822941e-272 1 1 1 0.000295586097539678 1 7.74210711194516e-30 1 1 1
GW441756 1 1 1 1 1 0.0964832981439991 1 8.0394937422309e-05 1 8.09047149373071e-33 0.00748228019950961 0.584459847449511 7.75703007486106e-133 1 1 1 1 1 1.81132743985032e-61 1 7.71622113789041e-05 1 1 1 5.32980182140404e-17 1 1 1 1 1
GW843682X 1 1 1 1 7.03255902478371e-06 1 1 1 1 1 0.00096311032382293 5.49771303101803e-19 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
HG.5.113.01 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.0341998480778197 1 1 1 1 1 1 1 1 1
HG.5.88.01 1 0.0266713866350916 7.57428518285312e-220 1 1 1 1 1 1 2.52947577759816e-16 3.05454115227876e-07 1 1 1 1 1 1 1 1 1 3.68719319814767e-07 1 1 0.00312361828567548 1 1 1 0.601690745283257 1 1
HG6.64.1 1 0.00228198724044337 0.882661013724809 0.0593329704527328 1 1 1 1 1 1 1 1 5.61170658001948e-16 1 1 1 1 1 0.293882187541154 1.10414178591271e-123 9.68729115325363e-108 1 1 1 1 1 1 1 1 1
I.BET.762 1 0.00696719456162081 2.06316749538771e-18 9.22672600255747e-52 1 1 2.01154432067947e-16 0.707978692604348 1.67832061278748e-67 1 1 0.0753595046414339 0.000828265868539665 1 6.16832147059255e-07 6.82166354790766e-06 1 1 1 1 1 1 1 1 0.00385377921228133 1 2.01830216007904e-05 0.725400411649777 1 1
ICL1100013 1 1 5.07116245691019e-112 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.00884956886196651 1 8.23470237122001e-129 1 1 1 1 1 1 1 1 1
Idelalisib 0.116746132864282 0.0139678884144103 1 1 1 1 1 1 1 1 1 1 8.47910737389549e-19 3.90142021736148e-70 1 1 1 1 7.63650906791545e-05 3.28563347174934e-222 0.0019953077565288 1 1 1 0.00169670293554273 1 1 1 1 0.295628810909397
Imatinib 1 1 1 1 1 3.77356241469111e-41 0.00041095665647054 1 1 1 1 1 1 1 0.917282160324084 1 1 1 9.36461980560656e-109 1 1 4.4150526489664e-14 1 1 1.03238954576143e-142 1 1 1 1 1
IOX2 1 1 3.24109509605112e-10 0.00683760741791933 0.00825306933562802 1.83556689336584e-167 1.47206855664114e-05 1 1 1 1 1 1 1 0.176358412783183 1 1 1 2.55462070690762e-06 1 1 1.26387497261854e-58 1 1 1.3430233957707e-34 1 1 0.725400411649777 1 1
IPA.3 1 0.0193092577136147 0.18412440670838 1 3.49054950877293e-12 0.0964832981439991 0.172863287757807 1 1 0.144881915077014 1 1 9.9150183778908e-06 0.0871099774797335 5.997176034778e-15 1 1 1 5.89647262895667e-126 4.88025721985326e-11 0.341691528280458 1 1 1 0.00772465866004913 1 1 1 1 1
Ispinesib.Mesylate 1 1 2.22418386453259e-28 1 1 1 1 1 1 6.22083629207504e-26 0.00748228019950961 0.00573193500479986 1 1.28942098058559e-21 1 1 1 1 3.4565422663769e-13 1 1.87929269483327e-76 1 1 1 0.000496828409135572 1 1 1 1 1
JNK.Inhibitor.VIII 1 1 9.55744343065834e-13 1 1 2.51325969864966e-54 0.172863287757807 1 1 1 1 1 1 1 7.83421989210896e-12 1 1 1 9.23288811345261e-67 1 6.30446092490434e-06 4.27250952182404e-22 1 1 5.66261752295046e-82 1 1 0.222123510819405 1 1
JNK.9L 0.116746132864282 1 0.941280294370223 1 1 1 1 1 1 1 8.23988784148622e-05 0.0753595046414339 1 1 1 1 1 0.347032310893338 1.27069219686344e-73 3.74405297293962e-20 2.70919132625033e-45 1 0.00339241066414717 1 8.86417850298532e-10 1 0.461511188517853 1 1 1
JQ1 1 1 1 0.079745749046179 1 3.48146891306545e-103 9.85001223673334e-13 1 1 0.384344128580942 1 1 0.297605372518215 1 1 1 1 1 1.32783057107423e-25 1 1 8.82571547911646e-28 1 1 1.64579013975203e-46 1 1 1 1 1
JQ12 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 2.71584234772625e-33 1 1 1 1 1 1 1 1 1 1
JW.7.24.1 1 0.00509037190626407 1 1 1 7.72227255142763e-10 4.84725983186904e-12 1 1 1 1 1 1 1 0.00114661521958342 1 1 1 1.15722352313539e-86 1 1.93492678988034e-17 2.79321404034954e-08 1 1 1.24818441280051e-105 1 1 1 1 1
JW.7.52.1 1 1 1 1 1 1 1 0.452624424523901 1 1 1 1 5.21658597843518e-25 1 0.00114661521958342 1 1 1 1.16475063339744e-37 1.87290733366372e-118 1.00040891333049e-57 1 1 1 0.00526663206353874 1 1 1 1 1
