Cancer	Gene	Drug	p.twosided	FC	nMut	nMutProp	adjp	color
ESCA	NFE2L2	Panobinostat	2.28230173210317e-07	-0.500204403837437	16	0.087431693989071	9.12920692841268e-07	1
ESCA	NFE2L2	PHA665752	0.00161951525223971	-0.0900613085389891	16	0.087431693989071	0.00647806100895884	1
ESCA	NFE2L2	TAE684	0.000987954160595491	-0.229525799815901	16	0.087431693989071	0.00395181664238196	1
GBM	SPTA1	Nutlin3	0.00185465584010407	-0.0515989840363387	12	0.08	0.00927327920052035	1
GBM	TP53	PLX4720	0.000752188667476892	-0.115252769008406	35	0.233333333333333	0.00376094333738446	1
HNSC	CASP8	Irinotecan	1.21946932759645e-10	0.440950225000289	43	0.0861723446893788	1.21946932759645e-08	2
HNSC	CASP8	PF2341066	3.05871433845091e-09	0.0791912784706096	43	0.0861723446893788	3.05871433845091e-07	2
HNSC	CASP8	PLX4720	3.86401074015405e-09	0.165494708865289	43	0.0861723446893788	3.86401074015405e-07	2
HNSC	CASP8	Sorafenib	4.26375795616729e-05	0.0686339043044411	43	0.0861723446893788	0.00213187897808365	2
HNSC	CASP8	TKI258	7.66813929898267e-05	0.176440616925309	43	0.0861723446893788	0.00383406964949133	2
HNSC	CASP8	Topotecan	6.52300222176453e-05	0.233891857969837	43	0.0861723446893788	0.00326150111088226	2
HNSC	HRAS	Irinotecan	0.000116892158986271	0.310636848769636	30	0.0601202404809619	0.00389640529954237	2
HNSC	HRAS	PLX4720	4.58235744253024e-05	0.145846882957117	30	0.0601202404809619	0.00152745248084341	2
HNSC	NSD1	17-AAG	2.94661032176015e-07	0.155042106854846	40	0.0801603206412826	2.94661032176015e-05	2
HNSC	NSD1	PLX4720	2.99230469301766e-05	-0.111360453049568	40	0.0801603206412826	0.00149615234650883	1
HNSC	TP53	AZD0530	4.03450708430364e-08	0.175116329881674	260	0.521042084168337	4.03450708430364e-06	2
HNSC	TP53	Irinotecan	1.40467693406525e-06	-0.22279640831157	260	0.521042084168337	7.02338467032625e-05	1
HNSC	TP53	L685458	1.18743905703549e-09	-0.0724049565162229	260	0.521042084168337	1.18743905703549e-07	1
HNSC	TP53	Lapatinib	3.03030552767995e-13	-0.111397112279492	260	0.521042084168337	3.03030552767995e-11	1
HNSC	TP53	Nilotinib	7.41047108081635e-05	-0.0557716184049261	260	0.521042084168337	0.00741047108081635	1
HNSC	TP53	Paclitaxel	3.37809537814723e-08	-0.192029659155396	260	0.521042084168337	3.37809537814723e-06	1
HNSC	TP53	Panobinostat	1.63750996258206e-07	-0.167507652612808	260	0.521042084168337	1.63750996258206e-05	1
HNSC	TP53	PD0332991	7.54817926700791e-08	-0.099350043096604	260	0.521042084168337	7.54817926700791e-06	1
HNSC	TP53	PF2341066	6.77043449632598e-06	-0.0361019057652225	260	0.521042084168337	0.000338521724816299	1
HNSC	TP53	PHA665752	6.4482723575113e-12	-0.0530699121834326	260	0.521042084168337	6.4482723575113e-10	1
HNSC	TP53	Sorafenib	3.61592204702373e-05	-0.044001892398512	260	0.521042084168337	0.00213187897808365	1
HNSC	TP53	TAE684	3.24193887840957e-05	-0.0668326956519252	260	0.521042084168337	0.00324193887840957	1
HNSC	TP53	TKI258	4.34701975823347e-10	-0.218716471765792	260	0.521042084168337	4.34701975823347e-08	1
HNSC	TP53	Topotecan	5.30704710632693e-10	-0.280185434902248	260	0.521042084168337	5.30704710632693e-08	1
KIRC	BAP1	RAF265	1.17227285295437e-05	0.160490830325686	18	0.0491803278688525	7.03363711772622e-05	2
KIRP	MET	TAE684	0.00140515222054382	0.135286526679624	21	0.075	0.00140515222054382	2
LAML	FLT3	AEW541	0.000249883110137742	-0.0920696307007243	37	0.217647058823529	0.000249883110137742	1
LAML	FLT3	AZD6244	0.000186759565035422	0.324061877676296	37	0.217647058823529	0.000186759565035422	2
LAML	FLT3	LBW242	0.00222206099047256	-0.0501726752025046	37	0.217647058823529	0.00222206099047256	1
LAML	FLT3	Paclitaxel	0.0010822534659649	0.0992477964495908	37	0.217647058823529	0.0010822534659649	2
LAML	FLT3	Panobinostat	0.000420474470449028	0.104675159913303	37	0.217647058823529	0.000420474470449028	2
LAML	FLT3	PD0325901	0.000354195127654405	0.347109445550148	37	0.217647058823529	0.000354195127654405	2
LAML	FLT3	RAF265	0.00024590684974059	0.118004502272024	37	0.217647058823529	0.00024590684974059	2
LAML	FLT3	Sorafenib	2.02761935291901e-05	0.0621485871961618	37	0.217647058823529	2.02761935291901e-05	2
LAML	FLT3	TKI258	0.00020259767255617	0.112402344646681	37	0.217647058823529	0.00020259767255617	2
LIHC	CTNNB1	Erlotinib	0.000843766914638867	-0.0394399317647135	85	0.237430167597765	0.00843766914638867	1
LIHC	CTNNB1	LBW242	7.12608422501537e-09	-0.0832260926210273	85	0.237430167597765	7.12608422501537e-08	1
LIHC	CTNNB1	PLX4720	0.000126871512340488	0.0684939622843486	85	0.237430167597765	0.00063435756170244	2
LIHC	TP53	Nutlin3	0.000459077804524558	-0.0297075454440103	75	0.209497206703911	0.00459077804524558	1
LIHC	TP53	Paclitaxel	3.21290669153564e-05	0.27646513859453	75	0.209497206703911	0.000321290669153564	2
LIHC	TP53	PD0332991	0.000291746879147767	-0.0490054380950855	75	0.209497206703911	0.00291746879147767	1
LIHC	TP53	PLX4720	4.00746209428635e-06	-0.0951828932123339	75	0.209497206703911	4.00746209428635e-05	1
LIHC	TP53	RAF265	0.000276173016358463	0.110254644139854	75	0.209497206703911	0.00276173016358463	2
LUAD	ITGAX	AZD6244	1.8582600588916e-05	-0.468755117691393	19	0.037328094302554	0.00736800113350519	1
LUAD	KEAP1	LBW242	6.51210027999241e-13	-0.109041655728089	69	0.135559921414538	5.16409552203398e-10	1
LUAD	KEAP1	Nutlin3	9.875910422102e-06	-0.0532067766328433	69	0.135559921414538	0.00783159696472689	1
LUAD	KEAP1	Topotecan	1.53932713912442e-08	-0.35969300409957	69	0.135559921414538	1.22068642132566e-05	1
LUAD	STK11	Irinotecan	1.24936683609273e-05	-0.315378556619776	40	0.0785854616895874	0.00990747901021535	1
LUAD	STK11	RAF265	4.02282351430159e-06	-0.15910516044814	40	0.0785854616895874	0.00159504952342058	1
LUAD	STK11	Topotecan	3.11224737505383e-08	-0.461863174569135	40	0.0785854616895874	1.23400608420884e-05	1
LUAD	TP53	AZD6244	8.6763114016389e-08	-0.211602084052749	202	0.396856581532416	6.88031494149965e-05	1
LUAD	TP53	PD0332991	5.16725011561357e-08	-0.075431654550052	202	0.396856581532416	4.09762934168156e-05	1
LUAD	TP53	PLX4720	2.56638144692523e-08	-0.132132299696905	202	0.396856581532416	2.03514048741171e-05	1
LUAD	TP53	RAF265	1.1769969435747e-08	0.0969231373749921	202	0.396856581532416	9.33358576254737e-06	2
LUSC	KEAP1	LBW242	1.69666290595532e-05	-0.0823216267719391	38	0.079664570230608	0.0048948724836811	1
LUSC	NFE2L2	LBW242	1.46557317859015e-09	-0.0937470313369125	61	0.127882599580713	8.45635724046517e-07	1
LUSC	NFE2L2	Paclitaxel	3.63709738861239e-06	0.28182474404188	61	0.127882599580713	0.00209860519322935	2
LUSC	NFE2L2	Panobinostat	1.01192542040284e-06	-0.226285800105582	61	0.127882599580713	0.000583880967572439	1
PAAD	CDKN2A	L685458	0.00534207162922711	-0.0687713256858812	26	0.152941176470588	0.00712276217230281	1
PAAD	CDKN2A	Lapatinib	0.00143665470143915	0.139387750219589	26	0.152941176470588	0.0028733094028783	2
PAAD	CDKN2A	Sorafenib	0.0074475692708896	-0.0522632028216197	26	0.152941176470588	0.00993009236118613	1
PAAD	KRAS	17-AAG	1.48503475524348e-05	0.314800083667929	33	0.194117647058824	5.94013902097392e-05	2
PAAD	KRAS	AZD0530	0.00167602028624132	0.203068114103115	33	0.194117647058824	0.00335204057248264	2
PAAD	KRAS	AZD6244	9.01360888403367e-05	0.502765939241859	33	0.194117647058824	0.000360544355361347	2
PAAD	KRAS	Erlotinib	9.01360888403367e-05	0.16507839687548	33	0.194117647058824	0.000360544355361347	2
PAAD	KRAS	L685458	4.37603180558869e-05	-0.106922410668201	33	0.194117647058824	0.000175041272223548	1
PAAD	KRAS	Lapatinib	5.77957746840609e-07	0.255591516872624	33	0.194117647058824	2.31183098736244e-06	2
PAAD	KRAS	Nilotinib	0.000103110453498004	-0.136245304008377	33	0.194117647058824	0.000412441813992016	1
PAAD	KRAS	PD0325901	2.22181442422776e-05	0.702642861858155	33	0.194117647058824	8.88725769691104e-05	2
PAAD	KRAS	Sorafenib	7.10619126707641e-05	-0.0844757680081179	33	0.194117647058824	0.000284247650683056	1
PAAD	KRAS	TKI258	2.47655703589333e-05	-0.275926286239765	33	0.194117647058824	9.90622814357332e-05	1
PAAD	KRAS	ZD6474	0.00097717560658605	0.190423234614089	33	0.194117647058824	0.0039087024263442	2
PAAD	TP53	AZD0530	0.000982785194517328	0.135324663159866	73	0.429411764705882	0.00335204057248264	2
PAAD	TP53	L685458	0.00232583781171473	-0.0580171453274061	73	0.429411764705882	0.00465167562342946	1
PAAD	TP53	Sorafenib	0.00297761435385068	-0.0416536396775821	73	0.429411764705882	0.00595522870770136	1
PAAD	TP53	ZD6474	0.00196692401686286	0.140117778043137	73	0.429411764705882	0.00393384803372572	2
PRAD	FOXA1	RAF265	0.000918461888950118	0.113356359871638	25	0.0506072874493927	0.00367384755580047	2
PRAD	SPOP	Nutlin3	0.00114342425630074	-0.0402048050579843	33	0.0668016194331984	0.00457369702520296	1
PRAD	TP53	AEW541	0.0012590562529444	-0.0400848741550557	37	0.0748987854251012	0.0050362250117776	1
PRAD	TP53	Erlotinib	0.00228063115200095	-0.0613208935096344	37	0.0748987854251012	0.0091225246080038	1
READ	KRAS	PF2341066	0.00186606385662613	-0.0385491096799149	27	0.3	0.00746425542650452	1
READ	KRAS	Topotecan	0.000834210392549538	-0.161576736233193	27	0.3	0.00333684157019815	1
SARC	TP53	AZD0530	0.00307288092374006	-0.115733388115589	54	0.230769230769231	0.00921864277122018	1
SARC	TP53	Lapatinib	0.000220180988021227	0.0850029869208488	54	0.230769230769231	0.000660542964063681	2
STAD	ADAMTS9	17-AAG	0.000552661788560346	0.30457458691343	11	0.0266990291262136	0.00416608659371096	2
STAD	ADCY1	17-AAG	0.000663605026735648	0.314520100542648	10	0.0242718446601942	0.00467634167277777	2
STAD	ARID1A	PF2341066	3.16350079484272e-05	0.0868290343935771	30	0.0728155339805825	0.00144130264275077	2
STAD	ARID1A	Topotecan	1.11774761182131e-05	0.372686982706862	30	0.0728155339805825	0.0016803472431047	2
STAD	ATP2B3	17-AAG	0.000160229072446336	0.287048904637969	14	0.0339805825242718	0.00214159538950036	2
STAD	BRWD1	17-AAG	9.35972752071781e-05	0.299466957692955	19	0.0461165048543689	0.00178442139405659	2
STAD	CCDC108	17-AAG	0.000414400849593598	0.304063124992854	12	0.029126213592233	0.00372141283253242	2
STAD	CCDC108	PF2341066	0.000178972624056582	0.108190644586921	12	0.029126213592233	0.00474803843820697	2
STAD	CDH1	Nutlin3	1.87542744928438e-05	0.11214682719136	24	0.058252427184466	0.00422908889813628	2
STAD	CDH9	17-AAG	0.00012737042208523	0.283499178402258	14	0.0339805825242718	0.00191480201201462	2
STAD	CELSR3	17-AAG	0.000255004905243716	0.243698537731044	22	0.0533980582524272	0.00273826695868847	2
STAD	CHD4	17-AAG	7.16291871787777e-05	0.274284713303852	19	0.0461165048543689	0.00178442139405659	2
STAD	CLUH	17-AAG	0.000105319346372653	0.346505258806548	11	0.0266990291262136	0.00178442139405659	2
STAD	CTNND1	17-AAG	0.000104930535710526	0.358468449827139	12	0.029126213592233	0.00178442139405659	2
STAD	CUL9	17-AAG	0.000456179166684207	0.307378228273438	13	0.0315533980582524	0.00388182649385995	2
STAD	DHX36	17-AAG	0.00010662502706814	0.278515531689584	14	0.0339805825242718	0.00178442139405659	2
STAD	EIF4G1	17-AAG	3.28447615471302e-05	0.305708581648329	16	0.0388349514563107	0.00123441562147964	2
STAD	EPG5	17-AAG	0.000125579263510435	0.34446982610529	12	0.029126213592233	0.00191480201201462	2
STAD	EPHA2	17-AAG	0.000505980176894342	0.291948399791208	14	0.0339805825242718	0.00393443206516118	2
STAD	ERBB3	17-AAG	0.000554246553487046	0.197837220565788	29	0.0703883495145631	0.00416608659371096	2
STAD	ERBB3	PF2341066	8.76348796776201e-07	0.103813148993787	29	0.0703883495145631	0.000197616653673033	2
STAD	ERBB3	PHA665752	1.10710604848884e-05	0.076433568718084	29	0.0703883495145631	0.00249652413934233	2
STAD	ERBB3	Topotecan	4.0681567274813e-05	0.360779241088214	29	0.0703883495145631	0.00366947736818813	2
STAD	FLNC	17-AAG	0.000491166770691294	0.257051486417812	19	0.0461165048543689	0.00393443206516118	2
STAD	FLNC	PF2341066	6.64233548952453e-05	0.101778229698998	19	0.0461165048543689	0.00272335755070506	2
STAD	FLT4	PF2341066	3.86122403143874e-06	0.131602194970654	15	0.0364077669902913	0.000580470679392957	2
STAD	FN1	17-AAG	4.75437957992598e-06	0.335312847219444	15	0.0364077669902913	0.000462706181006688	2
STAD	FREM1	17-AAG	7.38546162952149e-05	0.282845771213545	16	0.0388349514563107	0.00178442139405659	2
STAD	GABRG2	17-AAG	0.000232161083919755	0.339593994647284	11	0.0266990291262136	0.00255377192311731	2
STAD	GPATCH8	PF2341066	0.000140278435377568	0.122038673857766	12	0.029126213592233	0.00451896959680594	2
STAD	GREB1	17-AAG	0.000194947057102918	0.257835582303298	19	0.0461165048543689	0.00231371375666884	2
STAD	GTF3C1	PF2341066	0.000167216587801607	0.100961879069992	17	0.0412621359223301	0.0047134175686578	2
STAD	HIVEP1	17-AAG	0.00068499639723575	0.343925859821629	10	0.0242718446601942	0.00475282115620497	2
STAD	HIVEP2	17-AAG	1.38010711142858e-05	0.320804613851418	16	0.0388349514563107	0.000691587008060322	2
STAD	IGF2R	17-AAG	0.000420824954454886	0.302250207597087	12	0.029126213592233	0.00372141283253242	2
STAD	IGSF10	17-AAG	0.000231343860394119	0.24769021639342	20	0.0485436893203883	0.00255377192311731	2
STAD	ITPR3	17-AAG	3.05559969106992e-05	0.277401400254028	20	0.0485436893203883	0.00123441562147964	2
STAD	ITPR3	PF2341066	3.19579299944739e-05	0.101348928817839	20	0.0485436893203883	0.00144130264275077	2
STAD	KIF1B	17-AAG	0.000271355543936906	0.296614694041582	15	0.0364077669902913	0.00278139432535329	2
STAD	LAMB3	17-AAG	9.9154052953955e-05	0.349059910967893	10	0.0242718446601942	0.00178442139405659	2
STAD	MLLT4	PF2341066	0.000160510430036613	0.109205758537712	15	0.0364077669902913	0.0047134175686578	2
STAD	MPDZ	17-AAG	0.000154858230414326	0.283177740800947	15	0.0364077669902913	0.00214159538950036	2
STAD	MYH14	17-AAG	0.000362732975618212	0.284217668948915	17	0.0412621359223301	0.00348069302135774	2
STAD	MYH6	17-AAG	1.73009938378305e-05	0.284156653217095	18	0.0436893203883495	0.000780274822086156	2
STAD	MYH6	PF2341066	9.31937851513429e-06	0.116747541056738	18	0.0436893203883495	0.000717406349154249	2
STAD	MYOM2	17-AAG	3.25005110593231e-06	0.354873691932434	15	0.0364077669902913	0.000462706181006688	2
STAD	NLRC5	17-AAG	0.000594450611025549	0.295690299989499	14	0.0339805825242718	0.00436905808886055	2
STAD	NRXN2	17-AAG	0.000352769059119079	0.301020071615207	11	0.0266990291262136	0.00345867055788488	2
STAD	NSD1	17-AAG	7.0403141145083e-06	0.368977047120688	15	0.0364077669902913	0.000462706181006688	2
STAD	PCDH10	17-AAG	0.000104250048715142	0.244339145044183	27	0.0655339805825243	0.00178442139405659	2
STAD	PCDH10	PF2341066	6.67582039492852e-06	0.0952565284885601	27	0.0655339805825243	0.000717406349154249	2
STAD	PCDH10	Topotecan	6.01848748986518e-05	0.381050211988094	27	0.0655339805825243	0.00452389642988199	2
STAD	PCDH19	17-AAG	0.00044822386757191	0.295550573958153	13	0.0315533980582524	0.00388182649385995	2
STAD	PCDHA13	17-AAG	0.000188750796267385	0.35654914282494	10	0.0242718446601942	0.00230071916531326	2
STAD	PCDHA7	17-AAG	0.000600624393590586	0.216661975010975	15	0.0364077669902913	0.00436905808886055	2
STAD	PCDHB6	17-AAG	0.000165528960768606	0.318759515009083	13	0.0315533980582524	0.00214159538950036	2
STAD	PCNX	17-AAG	0.000166199198741713	0.327649151798395	10	0.0242718446601942	0.00214159538950036	2
STAD	PCNXL3	PF2341066	2.07938145912308e-05	0.130142032650581	13	0.0315533980582524	0.00133971576866358	2
STAD	PGM5	17-AAG	8.42757357007846e-08	0.30931540172789	27	0.0655339805825243	3.80083568010539e-05	2
STAD	PGM5	PF2341066	3.05205045576024e-07	0.107440325017729	27	0.0655339805825243	0.000137647475554787	2
STAD	PGM5	Topotecan	3.79565857012816e-05	0.340447131928559	27	0.0655339805825243	0.00366947736818813	2
STAD	PIK3CA	17-AAG	3.65252385107808e-05	0.19604293316165	40	0.0970873786407767	0.00126714481295093	2
STAD	PIK3CA	Irinotecan	1.20779356819746e-06	0.398105924873278	40	0.0970873786407767	0.000544714899257054	2
STAD	PIK3CA	PD0332991	9.74649377563358e-06	0.126232590819863	40	0.0970873786407767	0.00219783434640537	2
STAD	PIK3CA	PF2341066	9.54420863619844e-06	0.0806642495214684	40	0.0970873786407767	0.000717406349154249	2
STAD	PIK3CA	PHA665752	7.10432575068321e-07	0.0811142403222873	40	0.0970873786407767	0.000320405091355813	2
STAD	PIK3CA	Topotecan	6.33813792165806e-06	0.326605274692445	40	0.0970873786407767	0.00142925010133389	2
STAD	PLCG1	17-AAG	0.000499453686931023	0.3498134613591	10	0.0242718446601942	0.00393443206516118	2
STAD	PNPLA7	17-AAG	0.000396172335454079	0.344034338318263	10	0.0242718446601942	0.00372141283253242	2
STAD	POGZ	17-AAG	8.68592139615576e-05	0.345912628080262	11	0.0266990291262136	0.00178442139405659	2
STAD	POLE	17-AAG	6.05516289520119e-06	0.337077327475813	17	0.0412621359223301	0.000462706181006688	2
STAD	POLQ	17-AAG	0.000106827888335982	0.265079729792526	19	0.0461165048543689	0.00178442139405659	2
STAD	PTCHD2	17-AAG	0.000419792861005582	0.306985426588946	10	0.0242718446601942	0.00372141283253242	2
STAD	RNF43	17-AAG	0.000231357004811327	0.326029734308232	11	0.0266990291262136	0.00255377192311731	2
STAD	SALL3	17-AAG	0.00018408159333639	0.381704661696672	10	0.0242718446601942	0.00230071916531326	2
STAD	SAP130	17-AAG	0.000644500227811737	0.316303888388147	10	0.0242718446601942	0.00461380321814434	2
STAD	SCN1A	17-AAG	0.00011156270283179	0.297605750410138	16	0.0388349514563107	0.00179695639204062	2
STAD	SCN5A	17-AAG	7.18169238813041e-06	0.280695778201278	24	0.058252427184466	0.000462706181006688	2
STAD	SEC24B	17-AAG	0.000137990662181702	0.357020135956549	10	0.0242718446601942	0.0020075415691596	2
STAD	SEMA5B	17-AAG	2.00930374355619e-07	0.393282012079474	16	0.0388349514563107	4.53097994171921e-05	2
STAD	SETDB1	17-AAG	0.000485608160093527	0.32035971240083	12	0.029126213592233	0.00393443206516118	2
STAD	SH3TC1	17-AAG	0.000261210589870403	0.317220484001028	13	0.0315533980582524	0.00273967386119888	2
STAD	SLC6A15	17-AAG	0.000280648749830822	0.293736053597259	14	0.0339805825242718	0.00281272413719335	2
STAD	STAB1	17-AAG	8.70517040981464e-05	0.392664693987867	11	0.0266990291262136	0.00178442139405659	2
STAD	TNS1	17-AAG	6.05600777750515e-05	0.309224459172137	15	0.0364077669902913	0.00178442139405659	2
STAD	TP53	Nutlin3	5.90326804928996e-07	-0.0692125137319543	127	0.308252427184466	0.000266237389022977	1
STAD	TP53	PD0332991	2.09358748654535e-06	-0.0945322802442482	127	0.308252427184466	0.000944207956431953	1
STAD	TP53	PLX4720	1.44374290161667e-07	-0.149389819180175	127	0.308252427184466	6.51128048629118e-05	1
STAD	TP53	TKI258	7.86211632344058e-07	-0.199804112349456	127	0.308252427184466	0.00035458144618717	1
STAD	TP53	Topotecan	2.89468993449225e-06	-0.219219741471485	127	0.308252427184466	0.001305505160456	1
STAD	TRANK1	17-AAG	0.000492582456447914	0.276585179672994	14	0.0339805825242718	0.00393443206516118	2
STAD	ZNF292	17-AAG	5.38118426562152e-05	0.330887139443818	15	0.0364077669902913	0.0017335100741395	2
STAD	ZNF292	PF2341066	3.0525475216361e-05	0.122861863425308	15	0.0364077669902913	0.00144130264275077	2
STAD	ZNF516	17-AAG	0.000103299669291409	0.378060690536135	10	0.0242718446601942	0.00178442139405659	2
STAD	ZNF646	17-AAG	8.68589051675237e-06	0.402954928552091	11	0.0266990291262136	0.000489667077881915	2
STAD	ZNF646	PF2341066	8.1035523314595e-05	0.127578197981214	11	0.0266990291262136	0.00304558508457353	2
STAD	ZNF716	PF2341066	0.000122703325526281	0.130551951187877	10	0.0242718446601942	0.00425686152402713	2
TGCT	KIT	AZD0530	3.31979443625574e-05	-0.416899048129153	17	0.117241379310345	3.31979443625574e-05	1
TGCT	KIT	L685458	7.04758914456503e-06	0.204143830748261	17	0.117241379310345	7.04758914456503e-06	2
TGCT	KIT	LBW242	0.00149691767218582	0.139914658315032	17	0.117241379310345	0.00149691767218582	2
TGCT	KIT	Nilotinib	7.28666240307724e-05	0.263126011287686	17	0.117241379310345	7.28666240307724e-05	2
TGCT	KIT	Paclitaxel	0.000857392267303908	0.437910448805819	17	0.117241379310345	0.000857392267303908	2
TGCT	KIT	Panobinostat	1.61124849716029e-07	0.454033403428838	17	0.117241379310345	1.61124849716029e-07	2
TGCT	KIT	PD0332991	1.69034847793413e-05	0.218669589568245	17	0.117241379310345	1.69034847793413e-05	2
TGCT	KIT	PHA665752	0.000917825963853123	0.103110328011341	17	0.117241379310345	0.000917825963853123	2
TGCT	KIT	PLX4720	1.16193998718547e-05	0.371995151268456	17	0.117241379310345	1.16193998718547e-05	2
TGCT	KIT	Sorafenib	0.000243365332414383	0.189419809739202	17	0.117241379310345	0.000243365332414383	2
TGCT	KIT	TKI258	7.09558372436839e-05	0.387649900057454	17	0.117241379310345	7.09558372436839e-05	2
THYM	GTF2I	AZD6244	1.08036861955891e-05	0.224233291811236	56	0.474576271186441	1.08036861955891e-05	2
THYM	GTF2I	Irinotecan	3.10245475022097e-05	-0.633118538147692	56	0.474576271186441	3.10245475022097e-05	1
THYM	GTF2I	L685458	0.00421269766984375	-0.0829306125468123	56	0.474576271186441	0.00421269766984375	1
THYM	GTF2I	LBW242	2.85538937561098e-11	-0.152884340827281	56	0.474576271186441	5.71077875122196e-11	1
THYM	GTF2I	PD0325901	0.000135294768936371	0.277667945759327	56	0.474576271186441	0.000135294768936371	2
THYM	GTF2I	TAE684	0.00366749782817954	0.123692492365413	56	0.474576271186441	0.00456757738786135	2
THYM	GTF2I	ZD6474	1.25566286162985e-05	0.0696795684554201	56	0.474576271186441	2.5113257232597e-05	2
THYM	HRAS	AZD6244	9.83570291343854e-06	0.549629061689374	10	0.0847457627118644	1.08036861955891e-05	2
THYM	HRAS	Erlotinib	3.76894586859143e-05	0.220282263611805	10	0.0847457627118644	7.53789173718286e-05	2
THYM	HRAS	Irinotecan	2.46940504617651e-06	-1.48048033343909	10	0.0847457627118644	4.93881009235302e-06	1
THYM	HRAS	L685458	9.40510429345595e-06	-0.288215093135487	10	0.0847457627118644	1.88102085869119e-05	1
