DRUG_ID	DRUG_NAME	SYNONYMS	TARGET	TARGET_PATHWAY
135	Gemcitabine	Gemzar, LY-188011	Pyrimidine antimetabolite	DNA replication
136	Mitomycin-C	Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex	DNA crosslinker	DNA replication
140	Vinorelbine	vinorelbine tartrate, Navelbine, Exelbine	Microtubule destabiliser	Mitosis
147	NSC-87877	NSC 87877	SHP-1 (PTPN6), SHP-2 (PTPN11)	Other
150	Bicalutamide	ICI-176334, Casodex, Cosudex, ICI 176334	AR	Hormone-related
151	QS11	944328-88-5	ARFGAP1	Other
152	CP466722	CP-466722, CP 466722, 1080622-86-1	ATM	Genome integrity
153	Midostaurin	PKC412, benzoylstaurosporine, CGP-41251	PKC, PPK, FLT1, c-FGR, others	Other
154	CHIR-99021	CT 99021, CHIR99021, CHIR 99021	GSK3A, GSK3B	WNT signaling
155	Ponatinib	AP24534, AP-24534, KIN001-192, Iclusig	ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3	RTK signaling
156	AZD6482	AZD 6482, AZD-6482, AK-55409	PI3Kbeta	PI3K/MTOR signaling
157	JNK-9L	KIN001-204, JNK inhibitor 9l	JNK2, JNK3	JNK and p38 signaling
158	PF-562271	PF-00562271	FAK, FAK2	Cytoskeleton
159	HG6-64-1	KIN001-206	BRAF	ERK MAPK signaling
163	JQ1	JQ-1, (+)-JQ-1	BRD2, BRD3, BRD4, BRDT	Chromatin other
164	JQ12		HDAC1, HDAC2	Chromatin histone acetylation
165	DMOG	Dimethyloxalylglcine	HIF-PH	Metabolism
166	FTI-277		Farnesyl-transferase (FNTA)	Other
167	OSU-03012	AR-12, OSU 03012, OSU03012, PDK1 inhibitor AR-12	PDK1 (PDPK1)	Other, kinases
170	Shikonin	Anchusin	not defined	Other
171	AKT-inhibitor-VIII	Akti-1/2	AKT1, AKT2, AKT3	PI3K/MTOR signaling
172	Embelin	Emberine, Embelic acid	XIAP	Apoptosis regulation
173	FH535		PPARgamma, PPARdelta	WNT signaling
175	PAC-1	GTPL5238	Procaspase-3, Procaspase-7	Apoptosis regulation
176	IPA-3	IPA 3	PAK1	Cytoskeleton
177	GSK650394	GSK-650394, GSK 650394	SGK2, SGK3	Other
178	BAY-61-3606	Syk Inhibitor, BAY-613606	SYK	Other, kinases
179	5-Fluorouracil	5-FU	Antimetabolite (DNA & RNA)	Other
180	Thapsigargin	Octanoic acid	SERCA	Other
182	Obatoclax-Mesylate	GX15-070MS, Obatoclax, GX15-070	BCL2, BCL-XL, BCL-W, MCL1	Apoptosis regulation
184	BMS-754807	BMS754807, BMS 754807	IGF1R, IR	IGFR signaling
185	Linsitinib	OSI-906, ASP-7487	IGF1R	IGFR signaling
186	Bexarotene	LG-100069, Targretin, Targret, Targrexin, Targretyn, Bexarotenum	Retinioic X receptor (RXR) agonist	Other
190	Bleomycin		dsDNA break induction	DNA replication
192	LFM-A13	DDE-28	BTK	Other, kinases
193	GW-2580	GX2580, CFMS receptor tyrosine kinase inhibitor	CSF1R	RTK signaling
194	Luminespib	AUY922, VER-52296,NVP-AUY922,  AUY	HSP90	Protein stability and degradation
196	Phenformin	DBI	Biguanide agent	Other
197	Bryostatin-1	Bryostatin	PKC	Other, kinases
199	Pazopanib	Votrient	CSF1R, KIT,  PDGFRA, PDGFRB	RTK signaling
200	Dacinostat	NVP-LAQ824, LAQ824	HDAC1	Chromatin histone acetylation
201	Epothilone-B	Patupilone, EpoB, EPO906, GNF-PF-193	Microtubule stabiliser	Mitosis
202	GSK1904529A	GSK-1904529A, GSK 1904529A	IGF1R, IR	IGFR signaling
203	BMS-345541	BMS345541, IKK Inhibitor 3	IKK1, IKK2	Other, kinases
204	Tipifarnib	Zarnestra	Farnesyl-transferase (FNTA)	Other
205	Avagacestat	BMS-708163, BMS 708163	Amyloid beta20, Amyloid beta40	Other
206	Ruxolitinib	INCB-18424, Ruxolitinib Phosphate, Jakafi	JAK1, JAK2	Other, kinases
207	AS601245		JNK1, JNK2, JNK2	JNK and p38 signaling
208	Ispinesib-Mesylate	SB-715992	KSP	Mitosis
211	TL-2-105		not defined	Unclassified
219	AT-7519	AT7519	CDK1, CDK2, CDK4, CDK6, CDK9	Cell cycle
221	TAK-715	KIN001-201, TAK 715	p38alpha, p38beta	JNK and p38 signaling
222	BX-912		PDK1 (PDPK1)	PI3K/MTOR signaling
223	ZSTK474	KIN001-167, ZSTK-474, ZSTK 474	PI3K (class 1)	PI3K/MTOR signaling
224	AS605240	KIN001-173, AS-605240	PI3Kgamma	PI3K/MTOR signaling
225	Genentech-Cpd-10		AURKA, AURKB	Mitosis
226	GSK1070916	GSK-1070916	AURKA, AURKC	Mitosis
228	AKT inhibitor VIII	Akti-1/2, KIN001-102	AKT1, AKT2, AKT3	PI3K/MTOR signaling
229	Enzastaurin	LY317615	PKCB	Other, kinases
230	GSK429286A		ROCK1, ROCK2	Cytoskeleton
231	FMK	KIN001-242	RSK	Other, kinases
235	QL-XII-47		BTK, BMX	Other, kinases
238	Idelalisib	CAL-101, Zydelig	PI3Kdelta	PI3K/MTOR signaling
245	UNC0638	UNC-0638, UNC 0683	G9a and GLP methyltransferases	Chromatin histone methylation
249	Cabozantinib	BMS-907351, XL-184, Cometriq	VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL	Other, kinases
252	WZ3105		SRC, ROCK2, NTRK2, FLT3, IRAK1, others	Other
253	XMD14-99		ALK, CDK7, LTK, others	Other
254	Quizartinib	AC220, AC 220, AC-220, Asp-2689	FLT3	RTK signaling
255	CP724714	CP-724714	ERBB2	EGFR signaling
256	JW-7-24-1		LCK	Other, kinases
257	NPK76-II-72-1		PLK3	Cell cycle
258	STF-62247	STF62247	Autophagy inducer	Other
260	NG-25	NG25	TAK1, MAP4K2	Other, kinases
261	TL-1-85		TAK	Other, kinases
262	VX-11e	VX11e, VX11e	ERK2	ERK MAPK signaling
263	FR-180204	FR 180204, FR180204, ERK Inhibitor II	ERK1, ERK2	ERK MAPK signaling
265	Tubastatin-A		HDAC1, HDAC6, HDAC8	Chromatin histone acetylation
266	Zibotentan	ZD4054, ZD-4054	Endothelin-1 receptor (EDNRA)	Other
268	Sepantronium-bromide	YM155, YM-155, YM 155	BIRC5	Apoptosis regulation
269	NSC-207895	XI-006, NSC207895	MDM4	p53 pathway
271	VNLG-124	HDAC inhibitor XV	HDAC,RAR	Chromatin histone acetylation
272	AR-42	HDAC-42, AR 42, AR42	HDAC1	Chromatin histone acetylation
273	CUDC-101	CUDC 101	HDAC1-10, EGFR, ERBB2	Other
274	Belinostat	PXD101, PXD-101	HDAC1	Chromatin histone acetylation
275	I-BET-762	GSK525762A	BRD2, BRD3, BRD4	Chromatin other
276	CAY10603		HDAC1, HDAC6	Chromatin histone acetylation
277	Linifanib	ABT-869, ABT 869	VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT	RTK signaling
279	BIX02189	BIX 02189	MEK5, ERK5	ERK MAPK signaling
281	Alectinib	CH5424802, CH 542802, Alecensa	ALK	RTK signaling
282	Pelitinib	EKB-569, EKB 569	EGFR	EGFR signaling
283	Omipalisib	GSK2126458, GSK-2126458, EX-8678, GSK458	PI3K (class 1), MTORC1, MTORC2	PI3K/MTOR signaling
286	KIN001-236		Angiopoietin-1 receptor	Other
287	KIN001-244	PDK1 inhibitor 7	PDK1 (PDPK1)	Other, kinases
288	WHI-P97	AC1L1GQE, KIN001-055	JAK3	Other, kinases
290	KIN001-260	Bayer IKKb inhibitor, ACHP	IKKB	Other
291	KIN001-266		MAP3K8	Other, kinases
292	Masitinib	AB1010, Masivet	KIT, PDGFRA, PDGFRB	Other, kinases
293	Amuvatinib	MP470, MP 470, MP-470	KIT, PDGFRA, FLT3	Other, kinases
294	MPS-1-IN-1		MPS1	Mitosis
295	NVP-BHG712	BHG712	EPHB4	Other
298	OSI-930	OSI 930 OSI930	KIT	RTK signaling
299	OSI-027	A-1065-5	MTORC1, MTORC2	PI3K/MTOR signaling
300	CX-5461	CX5461, CX 5461	RNA Polymerase 1	Other
301	PHA-793887	PHA793887, PHA 793887	CDK2, CDK7, CDK5	Cell cycle
302	PI-103	PI-103, PI103, PI 103	PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2	PI3K/MTOR signaling
303	PIK-93	PIK 93, PIK93	PI3Kgamma	PI3K/MTOR signaling
304	SB52334	SB-52334, SB 52334	ALK5	RTK signaling
305	TPCA-1		IKK2	Other, kinases
306	Fedratinib	TG101348, TG-101348, SAR302503, SAR-302503	JAK2	Other, kinases
308	Foretinib	GSK1363089, XL-880, EXEL-2880, GSK089	MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR	RTK signaling
309	Y-39983		ROCK	Cytoskeleton
310	YM201636	YM-201636, YM 201636	PYKFYVE	Other
312	Tivozanib	AV-951, AV 951, KRN-951, KIL8951, ASP-4130	VEGFR1, VEGFR2, VEGFR3	RTK signaling
326	GSK690693	GSK 690693, GSK-690693	AKT1, AKT2, AKT3	PI3K/MTOR signaling
328	SNX-2112	SNX 2112	HSP90	Protein stability and degradation
329	QL-XI-92		DDR1	Other
330	XMD13-2		RIPK1	Apoptosis regulation
331	QL-X-138		BTK	Other, kinases
332	XMD15-27		CAMK2	Other, kinases
333	T0901317	TO-901317, TO901317	LXR, FXR	Other
341	Selisistat	EX-527, EX 527	SIRT1	Chromatin histone acetylation
344	THZ-2-49		CDK9	Cell cycle
345	KIN001-270	CDK9 inhibitor, CDK9-IN-1	CDK9	Cell cycle
346	THZ-2-102-1		CDK7	Cell cycle
1001	AICA-Ribonucleotide	AICAR, N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide	AMPK agonist	Metabolism
1003	Camptothecin	Camptothecine, (+)-Camptothecin	TOP1	DNA replication
1004	Vinblastine	Velban	Microtubule destabiliser	Mitosis
1005	Cisplatin	cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP	DNA crosslinker	DNA replication
1006	Cytarabine	Ara-Cytidine, Arabinosyl Cytosine, U-19920	Antimetabolite	DNA replication
1007	Docetaxel	RP-56976, Taxotere	Microtubule stabiliser	Mitosis
1008	Methotrexate	Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex	Antimetabolite	DNA replication
1009	Tretinoin	ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita	Retinoic acid 	Other
1010	Gefitinib	ZD-1839, Iressa	EGFR	EGFR signaling
1011	Navitoclax	ABT-263, ABT263, ABT 263	BCL2, BCL-XL, BCL-W	Apoptosis regulation
1012	Vorinostat	Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683	HDAC inhibitor Class I, IIa, IIb, IV	Chromatin histone acetylation
1013	Nilotinib	Tasigna, AMN 107	ABL	ABL signaling
1014	Refametinib	RDEA119, BAY-86-9766, BAY 869766	MEK1, MEK2	ERK MAPK signaling
1015	CI-1040	CI 1040, PD-18435, PD-184352, 212631-79-3	MEK1, MEK2	ERK MAPK signaling
1016	Temsirolimus	CCI-779, Torisel	MTOR	PI3K/MTOR signaling
1017	Olaparib	AZD2281, KU0059436,  Lynparza	PARP1, PARP2	Genome integrity
1018	Veliparib	ABT-888, ABT888, ABT 888	PARP1, PARP2	Genome integrity
1019	Bosutinib	SKI-606, Bosulif	SRC, ABL, TEC	Other, kinases
1020	Lenalidomide	CDC-501, CC-5013, Revlimid	CRBN	Protein stability and degradation
1021	Axitinib	AG-13736, Inlyta	PDGFR, KIT, VEGFR	RTK signaling
1022	AZD7762	AZD-7762, AZD 7762	CHEK1, CHEK2	Cell cycle
1023	GW441756	GW 441756	NTRK1	RTK signaling
1024	Lestaurtinib	CEP-701, SP-924, SPM-924, A-154475, KT-555	FLT3, JAK2, NTRK1, NTRK2, NTRK3	Other, kinases
1025	SB216763	SB-216763, SB 216763	GSK3A, GSK3B	WNT signaling
1026	Tanespimycin	17-AAG, BMS-722782	HSP90	Protein stability and degradation
1028	VX-702	VX702, VX 702	p38	JNK and p38 signaling
1029	Motesanib	AMG-706, AMG 706, AMG706	VEGFR, RET, KIT, PDGFR	RTK signaling
1030	KU-55933	KU55933	ATM	Genome integrity
1031	Elesclomol	STA-4783	HSP90	Protein stability and degradation
1032	Afatinib	BIBW2992, Tovok, Gilotrif	ERBB2, EGFR	EGFR signaling
1033	Vismodegib	GDC0449, Erivedge	SMO	Other
1036	PLX-4720	PLX4720, PLX 4720	BRAF	ERK MAPK signaling
1037	BX795	BX-795	TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC	Other
1038	NU7441	KU-57788, NU-7432, NU-7741	DNAPK	Genome integrity
1039	SL0101	SL-0101, SL 0101-1	RSK, AURKB, PIM1, PIM3	Other
1042	Doramapimod	BIRB-796, BIRB 796	p38, JNK2	JNK and p38 signaling
1043	JNK-Inhibitor-VIII		JNK	JNK and p38 signaling
1046	Wee1-Inhibitor	681640, Wee1 Inhibitor	WEE1, CHEK1	Cell cycle
1047	Nutlin-3a (-)		MDM2	p53 pathway
1049	PD173074	PD-173074, PD 173074	FGFR1, FGFR3	RTK signaling
1050	ZM447439	ZM-447439, ZM 447439	AURKA, AURKB	Mitosis
1052	RO-3306		CDK1	Cell cycle
1053	MK-2206	MK 2206, MK2206	AKT1, AKT2	PI3K/MTOR signaling
1054	Palbociclib	PD0332991, PD-0332991, PF-00080665-73	CDK4, CDK6	Cell cycle
1057	Dactolisib	NVP-BEZ235, BEZ235	PI3K (Class 1), MTORC1, MTORC2	PI3K/MTOR signaling
1058	Pictilisib	GDC-0941, GDC0941, RG-7621	PI3K (class 1)	PI3K/MTOR signaling
1059	AZD8055	AZD-8055	MTORC1, MTORC2	PI3K/MTOR signaling
1060	PD0325901	PD-0325901, PD 0325901	MEK1, MEK2	ERK MAPK signaling
1061	SB590885	SB-590885	BRAF	ERK MAPK signaling
1062	Selumetinib	AZD6244, AZD-6244, ARRY-886	MEK1, MEK2	ERK MAPK signaling
1066	AZD6482	AZD 6482, AZD-6482, AK-55409	PI3Kbeta	PI3K/MTOR signaling
1067	CCT007093		PPM1D	Other
1069	EHT-1864	EHT 1864	RAC1, RAC2, RAC3	Cytoskeleton
1072	Avagacestat	BMS-708163, BMS 708163	Amyloid beta20, Amyloid beta40	Other
1091	BMS-536924	BMS 536924	IGF1R, IR	Unclassified
1114	Cetuximab	Erbitux, IMC-C225, C225, IMC-225, L01XC06	EGFR	EGFR signaling
1129	PF-4708671	PF 4708671, PF4708671	S6K1	PI3K/MTOR signaling
1133	Serdemetan	JNJ-26854165	MDM2	p53 pathway
1142	HG-5-113-01		LOK, LTK, TRCB, ABL(T315I)	Other
1143	HG-5-88-01		EGFR, ADCK4	Other, kinases
1149	TW-37	TW37, TW-37	BCL2, BCL-XL, MCL1	Apoptosis regulation
1158	XMD11-85h		BRSK2, FLT4, MARK4, PRKCD, RET, SPRK1	Other
1161	ZG-10		JNK1	JNK and p38 signaling
1164	XMD8-92	XMD 8-92	MAPK7	Other, kinases
1166	QL-VIII-58		MTOR, ATR	Other
1170	CCT-018159	CCT018159, CCT 018159	HSP90	Protein stability and degradation
1175	Rucaparib	PF-01367338, AG-014699, AG-14447, AG-14699	PARP1, PARP2	Genome integrity
1192	GSK269962A	GSK 269962A	ROCK1, ROCK2	Cytoskeleton
1194	SB505124	SB 505124, SB505124	ALK4, ALK5	RTK signaling
1199	Tamoxifen	Nolvadex, Soltamox, Zynoplex, ICI-46474, Kessar	ESR1	Hormone-related
1203	QL-XII-61		BMX, BTK	Other, kinases
1218	JQ1	JQ-1, (+)-JQ-1	BRD2, BRD3, BRD4, BRDT	Chromatin other
1219	PFI-1		BRD4	Chromatin other
1230	IOX2	IOX-2, IOX 2, AK176060	EGLN1	Other
1236	UNC0638	UNC-0638, UNC 0683	G9a and GLP methyltransferases	Chromatin histone methylation
1239	YK-4-279	YK 4-279	RNA helicase A	Other
1241	CHIR-99021	CT 99021, CHIR99021, CHIR 99021	GSK3A, GSK3B	WNT signaling
1242	(5Z)-7-Oxozeaenol	5Z-7-Oxozeaenol, LL-Z1640-2	TAK1 	Other, kinases
1243	Piperlongumine	Piplartine	Induces reactive oxygen species	Other
1248	Daporinad	APO866,  FK866, FK866	NAMPT 	Metabolism
1259	Talazoparib	BMN-673, BMN 973	PARP1, PARP2	Genome integrity
1261	rTRAIL		TRAIL receptor agonist	Apoptosis regulation
1262	UNC1215	UNC-1215	L3MBTL3	Chromatin other
1264	SGC0946		DOT1L	Chromatin histone methylation
1266	ICL1100013		N-myristoyltransferase 1/2	Other
1268	XAV939	NVP-XAV939, XAV-939, XAV 939	TNKS1, TNKS2	WNT signaling
1371	PLX-4720	PLX4720, PLX 4720	BRAF	ERK MAPK signaling
1372	Trametinib	GSK1120212, Mekinist	MEK1, MEK2	ERK MAPK signaling
1373	Dabrafenib	GSK2118436, Tafinlar	BRAF	ERK MAPK signaling
1375	Temozolomide	Temodar, Temodal, M-39831, SCH 52365	DNA alkylating agent	DNA replication
1377	Afatinib	BIBW2992, Tovok, Gilotrif	ERBB2, EGFR	EGFR signaling
1378	Bleomycin (50 uM)		dsDNA break induction	DNA replication
1494	SN-38	7-Ethyl-10-Hydroxy-Camptothecin, SN 38	TOP1	DNA replication
1495	Olaparib	AZD2281, KU0059436,  Lynparza	PARP1, PARP2	Genome integrity
1498	Selumetinib	AZD6244, AZD-6244, ARRY-886	MEK1, MEK2	ERK MAPK signaling
1502	Bicalutamide	ICI-176334, Casodex, Cosudex, ICI 176334	AR	Hormone-related
1526	Refametinib	RDEA119, BAY-86-9766, BAY 869766	MEK1, MEK2	ERK MAPK signaling
1527	Pictilisib	GDC-0941, GDC0941, RG-7621	PI3K (class 1)	PI3K/MTOR signaling
1529	Pevonedistat	MLN4924, MLN 4924, MLN-4924	NAE	Other
1530	PFI-3	BDF00016096	SMARCA2, SMARCA4, PB1	Other
