V1	V2	V3					
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.853016188139254	4
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.933895175666614	4
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.768140888690874	4
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.410163402890534	5
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.694349140746091	5
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.692934762071027	5
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.778718437430572	5
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.906720211307236	5
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.584248004447666	5
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.490066543721326	5
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.794529266939877	5
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.304241264227442	5
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.838061050260191	5
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.705154020999289	5
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.855982243094042	5
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.863002644751236	5
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.748281127573892	5
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.312796473184602	6
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.75497586658856	6
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.682266743909376	6
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.74282380442252	6
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.888322461124847	6
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.693451498192501	6
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.382900139414343	6
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.812466705631577	6
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.230747517471895	6
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.799994069440288	6
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.881945175993643	6
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.801105587095553	6
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.976814373063643	6
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.727506553333458	6
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.247623713970275	7
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.680053064851947	7
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.701261832815747	7
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.716017261748344	7
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.749284275492325	7
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.510606834647257	7
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.39327307857637	7
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.83840688281281	7
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.253559139830831	7
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.735464034845186	7
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.685780891838549	7
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.861409353221111	7
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.944083181596308	7
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.768434754418339	7
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.388482978920125	8
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.735875557255687	8
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.851826679077195	8
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.773904412164777	8
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.88808643771085	8
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.630101177508819	8
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.349700108807724	8
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.825873690913537	8
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.3591845189471	8
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.759308951386302	8
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.856507291968553	8
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.817760203827606	8
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.964908744087043	8
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.824754797816606	8
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.325306303563011	9
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.699760455176904	9
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.657752206723925	9
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.629618688544066	9
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.858150692718202	9
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.751696704171934	9
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.487163260954748	9
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.840774924629273	9
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.232351759542002	9
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.845674403324685	9
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.895726440997048	9
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.826255244996803	9
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.91401107307943	9
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.754438716807355	9
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.32647443974463	10
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.657559347561576	10
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.684673824094891	10
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.726182565453928	10
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.818351170051058	10
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.72759891157337	10
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.253693182660907	10
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.839768083857713	10
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.243819947625342	10
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.861381993563591	10
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.943217940252518	10
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.843622825739983	10
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.936020684530042	10
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.777941430217739	10
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.316109134943865	11
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.718485568314704	11
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.73927769233654	11
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.822123811437837	11
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.896976006096744	11
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.695061031818501	11
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.313246610655714	11
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.814647309895741	11
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.294910015486056	11
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.75135265190074	11
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.95862504617744	11
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.857544595350133	11
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.772864254737049	11
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.738896840149894	11
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.377698251624736	12
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.614161905188804	12
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.710877037473466	12
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.695134257738956	12
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.815662898202498	12
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.614601655415479	12
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.491123200811234	12
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.805654684526764	12
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.316072321035544	12
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.834716113497539	12
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.869527951014653	12
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.793715391630766	12
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.967894103516359	12
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.752892274492136	12
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.354502549906892	13
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.76032756549256	13
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.719580891862777	13
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.761227147995152	13
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.841347833280466	13
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.571565446427453	13
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.60709992208899	13
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.800026598715169	13
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.174185283216669	13
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.805354207950383	13
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.79754568653871	13
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.864584854091026	13
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.937273467786061	13
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.622306312901119	13
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.301822716703661	14
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.783796432910678	14
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.706112799988311	14
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.68740300557721	14
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.843288189677598	14
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.697746534088022	14
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.458579592568323	14
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.824515622019851	14
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.221565203124699	14
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.830778955721786	14
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.892597182748462	14
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.808390342044445	14
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.933128965488835	14
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.710127417143829	14
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.330567562103649	15
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.806958526517881	15
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.735343555979507	15
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.738034245177152	15
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.896197730865514	15
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.629008419819442	15
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.360899415616361	15
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.801078089847758	15
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.186943265978083	15
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.802522434183995	15
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.74936415985554	15
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.85051702341194	15
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.855577897894788	15
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.767595392778977	15
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.373294842847598	16
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.627921817185495	16
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.684265831321403	16
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.731821514994502	16
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.842845092616024	16
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.694493354057586	16
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.285737134867548	16
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.839914393735867	16
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.253427603353243	16
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.837319582940292	16
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.909623699339892	16
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.861382455151096	16
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.837896680054192	16
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.761696459555148	16
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.318161550720736	17
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.705188706661513	17
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.888902353427991	17
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.730147806364958	17
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.888889337708058	17
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.693052272130063	17
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.491067954046166	17
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.810367863820604	17
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.230022284976288	17
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.838913673941527	17
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.91403312101772	17
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.869450014028927	17
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.96296648925834	17
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.798524184638459	17
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.421479807664371	18
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.703826484287906	18
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.776796222033981	18
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.776934327959976	18
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.809555913775614	18
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.646664152199361	18
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.494540920976295	18
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.833762491225939	18
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.226273002631956	18
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.82919696607998	18
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.946353051124299	18
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.853425474041045	18
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.971984381441138	18
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.802144694832391	18
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.408912237184634	19
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.666805315763885	19
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.665029585964403	19
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.715199206790231	19
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.805888034643976	19
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.68097441151934	19
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.513861414826189	19
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.817339743850015	19
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.269047417668442	19
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.835100595544685	19
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.938596048528655	19
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.856062637357235	19
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.976155231410265	19
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.740022764945033	19
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.324056168794864	20
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.632180824818474	20
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.539118633409055	20
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.722454873246127	20
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.86674614203715	20
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.65210307843546	20
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.539962686492866	20
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.815935902585297	20
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.269572735092345	20
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.866527604536576	20
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.844280196483275	20
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.806952907992347	20
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.89005177450327	20
